topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,rank_mass_min,rank_mass_mean,rank_mass_max,rank_mass_gini,rank_dim_mass_min,rank_dim_mass_mean,rank_dim_mass_max,rank_dim_mass_gini,rank_nonzero_fraction,rank_weight_entropy,rank_weight_effective_entries,rooted_polytope_n_roots,rooted_polytope_common_rank_total,rooted_polytope_common_rank_mean,rooted_polytope_common_rank_max,rooted_polytope_supported_branch_dim_fraction,rooted_polytope_branch_root_support_min,rooted_polytope_branch_root_support_mean,rooted_polytope_branch_root_support_max,rooted_polytope_branch_root_support_gini,rooted_polytope_branch_best_rank_min,rooted_polytope_branch_best_rank_mean,rooted_polytope_branch_best_rank_max,rooted_polytope_branch_best_rank_gini,rooted_polytope_root_rank_mass_min,rooted_polytope_root_rank_mass_mean,rooted_polytope_root_rank_mass_max,rooted_polytope_root_rank_mass_gini,rooted_polytope_root_rank_mass_effective,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,rank_weighted_oracle_test_accuracy,rank_weighted_oracle_test_margin_mean,rank_weighted_oracle_test_margin_p10,rank_weighted_oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,rank_weighted_linear_test_accuracy,rank_weighted_linear_test_margin_mean,rank_weighted_linear_test_margin_p10,rank_weighted_linear_test_margin_finite_fraction,linear_weight_norm,weighted_linear_weight_norm,tropical_feature_trials,tropical_feature_mode,tropical_projection_radius,tropical_edge_bias_scale,tropical_linear_train_accuracy_mean,tropical_linear_train_accuracy_max,tropical_linear_train_accuracy_std,tropical_linear_test_accuracy_mean,tropical_linear_test_accuracy_max,tropical_linear_test_accuracy_std,tropical_linear_test_margin_p10_mean,tropical_linear_test_margin_p10_max,tropical_linear_test_margin_p10_std,tropical_root_feature_effective_rank_mean,tropical_root_feature_effective_rank_max,tropical_root_feature_effective_rank_std,tropical_root_feature_variance_mean,tropical_root_feature_variance_max,tropical_root_feature_variance_std
g0001_cycle_chords_seed2,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed2,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0001_cycle_chords_seed2.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,30.0,1.25,2.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,7.5,12.0,0.3500000000000001,2.8717458874925876,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.40499999999999997,0.436,0.025268557536986556,0.38683333333333336,0.438,0.03013257742414715,-0.13900357498560512,-0.09796821711815627,0.022169756264643736,2.6676857579501596,3.121642400427116,0.3064000018578236,0.17419307668757877,0.2645334768496219,0.033886714922222776
g0002_cycle_chords_seed3,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed3,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0002_cycle_chords_seed3.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,24.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,6.0,12.0,0.375,2.82842712474619,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.39458333333333334,0.427,0.0138951930137328,0.38375000000000004,0.44,0.02492697668524338,-0.16804585566517094,-0.10398193304340188,0.03888884368098616,2.671310366600224,3.058272178807396,0.240998783758751,0.1568651036887492,0.2136270914765489,0.029209181278835893
g0004_cycle_chords_seed5,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed5,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0004_cycle_chords_seed5.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,24.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,4.0,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.4035,0.441,0.023282683121438844,0.3924166666666667,0.431,0.025240372201869147,-0.16483932151884984,-0.12133992299725929,0.030719596952916782,2.7188899861673668,3.141860222866964,0.2307386155258224,0.1385854638201245,0.185894250667431,0.027022349805469626
g0005_cycle_chords_seed6,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed6,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0005_cycle_chords_seed6.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,18.0,0.75,2.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,4.5,12.0,0.5833333333333333,1.8898815748423097,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.40199999999999997,0.457,0.025252062622024896,0.38766666666666666,0.426,0.02602669569670512,-0.17713791202908905,-0.13315663633468153,0.03397210157330884,2.5524613897592183,3.089821791029409,0.25897312933105254,0.1969106662413133,0.2368545712268668,0.033479137572643675
g0010_cycle_chords_seed12,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed12,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0010_cycle_chords_seed12.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,18.0,0.75,2.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,4.5,12.0,0.5833333333333333,1.8898815748423097,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.39599999999999996,0.437,0.022931056088486928,0.3775,0.407,0.024861281811952764,-0.16831752019738377,-0.08452357760466765,0.045544916905742104,2.6259349358693806,3.034133470237611,0.2753750063937736,0.20433944618383995,0.3878803366798256,0.06618917249097778
g0012_cycle_chords_seed14,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed14,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0012_cycle_chords_seed14.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,30.0,1.25,2.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,7.5,12.0,0.3500000000000001,2.8717458874925876,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.3914166666666667,0.434,0.02411935023079095,0.3730833333333334,0.421,0.022581180709214978,-0.14551438353802193,-0.09488942545431815,0.030435816653541177,2.6717843348431582,2.974161485674964,0.18483802382218664,0.16340103365422767,0.26825250925233934,0.04487021436990249
g0013_cycle_chords_seed15,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed15,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0013_cycle_chords_seed15.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,12.0,0.5,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,6.0,0.5,2.0,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.39283333333333337,0.412,0.016369857122840815,0.38033333333333336,0.414,0.022133433734712035,-0.16854924710138341,-0.1135085851224544,0.03305349364657952,2.7266519902784174,3.205985868273511,0.22114778613663838,0.151034381357019,0.21616945565464388,0.032209056044774254
g0031_cycle_chords_seed50,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed50,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0031_cycle_chords_seed50.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,30.0,1.25,2.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,7.5,12.0,0.3500000000000001,2.8717458874925876,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.3930833333333334,0.432,0.01896249954222514,0.3781666666666666,0.409,0.019852931493582728,-0.14528864411556794,-0.09985878343421767,0.033208801253853205,2.736654608842514,2.9692801932454413,0.17801572561396609,0.1710428924564522,0.27155899376665094,0.041855013214294155
g0043_cycle_chords_seed96,cycle_chords,cycle_chords,cycle_chords_n4_m6_seed96,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0043_cycle_chords_seed96.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,30.0,1.25,2.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,7.5,12.0,0.3500000000000001,2.8717458874925876,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.40116666666666667,0.436,0.018707544526800464,0.38525000000000004,0.426,0.019140380525649606,-0.16334384733009621,-0.09513877332901885,0.03657488666620813,2.7171537874729244,3.066394779522622,0.21043435444788092,0.16343578687359075,0.22695003477367504,0.031169928134321026
g0046_random_sc_seed11,random_sc,random_sc,random_sc_n4_m6_seed11,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0046_random_sc_seed11.json,,4,6,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,4,18.0,0.75,2.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,4.5,12.0,0.5833333333333333,1.8898815748423097,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.39058333333333334,0.44,0.023160520767509147,0.3819166666666666,0.426,0.023743273901371636,-0.14244019167577734,-0.09941365427502558,0.030660744668300988,2.6638913214157314,3.159998530674133,0.2866893341274319,0.16712538375686226,0.20296103279984248,0.02232162929208064
