idx,selected,topology_id,topology_name,family,seed,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log
1,1,g0001_cycle_chords_seed2,cycle_chords,cycle_chords,2,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0001_cycle_chords_seed2.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247034,0.5081201876267412,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
2,1,g0002_cycle_chords_seed3,cycle_chords,cycle_chords,3,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0002_cycle_chords_seed3.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954263,3.292720864447211,0.5175549155984684,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
4,1,g0004_cycle_chords_seed5,cycle_chords,cycle_chords,5,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0004_cycle_chords_seed5.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.130851920890753,2.0,0.3010299956639812,0.0,0.2222222222222221,0.0,1.5,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
5,1,g0005_cycle_chords_seed6,cycle_chords,cycle_chords,6,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0005_cycle_chords_seed6.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.78797616844766,3.2108269615689333,0.5066169011252937,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
10,1,g0010_cycle_chords_seed12,cycle_chords,cycle_chords,12,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0010_cycle_chords_seed12.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696436,2.826670827146177,0.4512752367606234,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
12,1,g0012_cycle_chords_seed14,cycle_chords,cycle_chords,14,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0012_cycle_chords_seed14.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.221960320424707,0.5081201876267416,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
13,1,g0013_cycle_chords_seed15,cycle_chords,cycle_chords,15,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0013_cycle_chords_seed15.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.648021658811948,3.7320508075688767,0.5719475475333593,0.16666666666666674,0.22222222222222232,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6,0.7781512503836436
31,1,g0031_cycle_chords_seed50,cycle_chords,cycle_chords,50,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0031_cycle_chords_seed50.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.13130660069214,3.007064798148741,0.4781427866556317,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
43,1,g0043_cycle_chords_seed96,cycle_chords,cycle_chords,96,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0043_cycle_chords_seed96.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692141,3.0070647981487375,0.4781427866556312,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
46,1,g0046_random_sc_seed11,random_sc,random_sc,11,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0046_random_sc_seed11.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.5883484066578144,0.41302273447920396,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
56,1,g0056_hub_spoke_seed1,hub_spoke,hub_spoke,1,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0056_hub_spoke_seed1.json,24,6,6.0,6,0.0,6,6.0,6,0.0,3,2.6246903390462615,2.0000000000000004,0.3010299956639813,0.0,0.25,0.0,1.5,0.5773502691896257,0.5773502691896257,4,0.6020599913279624
57,1,g0057_two_module_seed1,two_module,two_module,1,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0057_two_module_seed1.json,24,6,6.0,6,0.0,6,6.0,6,0.0,3,2.3015869150792385,2.414213562373094,0.3827756853378629,0.0,0.2222222222222221,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,4,0.6020599913279624
