topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,rank_mass_min,rank_mass_mean,rank_mass_max,rank_mass_gini,rank_dim_mass_min,rank_dim_mass_mean,rank_dim_mass_max,rank_dim_mass_gini,rank_nonzero_fraction,rank_weight_entropy,rank_weight_effective_entries,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,rank_weighted_oracle_test_accuracy,rank_weighted_oracle_test_margin_mean,rank_weighted_oracle_test_margin_p10,rank_weighted_oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,rank_weighted_linear_test_accuracy,rank_weighted_linear_test_margin_mean,rank_weighted_linear_test_margin_p10,rank_weighted_linear_test_margin_finite_fraction,linear_weight_norm,weighted_linear_weight_norm,tropical_feature_trials,tropical_feature_mode,tropical_projection_radius,tropical_edge_bias_scale,tropical_linear_train_accuracy_mean,tropical_linear_train_accuracy_max,tropical_linear_train_accuracy_std,tropical_linear_test_accuracy_mean,tropical_linear_test_accuracy_max,tropical_linear_test_accuracy_std,tropical_linear_test_margin_p10_mean,tropical_linear_test_margin_p10_max,tropical_linear_test_margin_p10_std,tropical_root_feature_effective_rank_mean,tropical_root_feature_effective_rank_max,tropical_root_feature_effective_rank_std,tropical_root_feature_variance_mean,tropical_root_feature_variance_max,tropical_root_feature_variance_std
g0000_cycle_chords_seed1,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed1,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0000_cycle_chords_seed1.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4128125,0.46125,0.031808038324979006,0.37041666666666667,0.42375,0.03154169418757055,-0.19059144537692238,-0.12495646700505349,0.0381141446372526,2.9580316592670033,3.8251571108010562,0.4248438280407761,0.18418507332622536,0.23149876357559485,0.03163363534337551
g0033_cycle_chords_seed34,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed34,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0033_cycle_chords_seed34.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4247916666666666,0.47125,0.03379947505345148,0.3791666666666667,0.4225,0.027397219546678245,-0.20736569318652973,-0.11806507645039618,0.047144078469390595,3.013141594240544,3.443776103834536,0.28878843038664076,0.16682669694589045,0.25058291331230953,0.040787258502568244
g0034_cycle_chords_seed35,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed35,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0034_cycle_chords_seed35.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.425,0.465,0.02644274475163273,0.3796875,0.4275,0.023541436208311502,-0.21113933594104486,-0.15083370167132204,0.032262279511902865,3.2635246366969017,3.7322350107867144,0.33876645958157386,0.11184629684808996,0.13656445177692808,0.017604304719886547
g0060_cycle_chords_seed62,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed62,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0060_cycle_chords_seed62.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40677083333333336,0.44625,0.026291922542336494,0.36656249999999996,0.4275,0.028021220567336694,-0.1865170335245463,-0.11172117123443256,0.043812857295924636,2.93923046127397,3.7652488503000443,0.4197857941523793,0.1904402186726103,0.23885250125611152,0.030987886701171613
g0067_cycle_chords_seed69,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed69,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0067_cycle_chords_seed69.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4116666666666666,0.45875,0.024110927098632173,0.3478125,0.41,0.02762813424904645,-0.1970975426736059,-0.14019067095803014,0.032814583690676,2.948368223050716,3.5095492146569467,0.35636446468688465,0.18050877917088895,0.26488860064238395,0.036986039464341536
g0069_cycle_chords_seed71,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed71,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0069_cycle_chords_seed71.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.41197916666666673,0.4475,0.02096287848329889,0.36114583333333333,0.39375,0.02214099194493226,-0.19742697710353818,-0.16602884371690863,0.030151559167730067,3.13799378718878,3.5386115821132673,0.23958904926027746,0.14258209803665176,0.17011462718891043,0.02492738916188621
g0077_cycle_chords_seed79,cycle_chords,cycle_chords,cycle_chords_n5_m8_seed79,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0077_cycle_chords_seed79.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.408125,0.45,0.021779553676173746,0.36114583333333333,0.39625,0.02031944325776559,-0.17401473066083248,-0.07937350483476391,0.050871146650875776,3.2204608153452394,3.961247290221213,0.3927156586813589,0.13955321408356622,0.1999167227882072,0.024400906278817785
g0139_random_sc_seed48,random_sc,random_sc,random_sc_n5_m8_seed48,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0139_random_sc_seed48.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4061458333333334,0.45375,0.03196049943767393,0.36947916666666664,0.415,0.03553701977242261,-0.18367644301523942,-0.11884827385345616,0.041715395706781996,2.899333609684136,3.568845534072789,0.31708916705631013,0.1985653423430309,0.2754442021277944,0.04396861931374575
g0184_hub_spoke_seed1,hub_spoke,hub_spoke,hub_spoke_n5_m8_seed1,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0184_hub_spoke_seed1.json,,5,8,3,2,8,32,8,8.0,1.0,2,2.0,2,8.0,8.0,8.0,0.0,12.0,12.0,12.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40874999999999995,0.44,0.018420719765163,0.36062500000000003,0.39875,0.019015481631204253,-0.18178274029719543,-0.10373708862041557,0.03346174665331233,3.06588744274076,3.4687168210429076,0.3219531538524267,0.17101452299929024,0.29873590698794655,0.05582983172786278
g0231_degree_balanced_seed60,degree_balanced,degree_balanced,degree_balanced_n5_m8_seed60,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0231_degree_balanced_seed60.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4086458333333333,0.45,0.0266851742416188,0.35812499999999997,0.4125,0.029379432289727222,-0.2016168662489305,-0.12990135474038245,0.043566170974967774,3.1218749169461906,3.695577290892761,0.37550060859716694,0.1637797175174369,0.2795827355296899,0.04455377124601343
g0258_bottleneck_bridge_seed4,bottleneck_bridge,bottleneck_bridge,bottleneck_bridge_n5_m8_seed4,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0258_bottleneck_bridge_seed4.json,,5,8,3,2,8,40,10,10.0,1.0,2,2.0,2,10.0,10.0,10.0,0.0,15.0,15.0,15.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.41614583333333327,0.46375,0.023736061333736243,0.3675,0.4175,0.03159806164941134,-0.20547252284264364,-0.12351575123215516,0.0481679232932175,2.692383010090209,3.483674161688607,0.4223041222293691,0.19213170421056316,0.2824648875462757,0.061322529749262
g0260_redundant_paths_seed1,redundant_paths,redundant_paths,redundant_paths_n5_m8_seed1,,full,/Users/aadarwal/code/statmech/topology/ICL/results/expanded_hard_libraries/n5_m8_N3_D2/topologies/g0260_redundant_paths_seed1.json,,5,8,3,2,8,56,14,14.0,1.0,2,2.0,2,14.0,14.0,14.0,0.0,21.0,21.0,21.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4097916666666666,0.4475,0.025949838096262223,0.36645833333333333,0.40125,0.02597992681325762,-0.19045010480385463,-0.08624281948489347,0.051635778843011716,2.951105723573781,3.531032199612234,0.36158607689091304,0.1880501177375236,0.2846605291377727,0.05345545356500876
