group,group_by,n_runs,labels,seeds,target,target_mean,target_max,target_std,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final_mean,train_acc_final_max,train_acc_final_std,val_acc_final_mean,val_acc_final_max,val_acc_final_std,icl_acc_final_eval_mean,icl_acc_final_eval_max,icl_acc_final_eval_std,icl_acc_max_eval_mean,icl_acc_max_eval_max,icl_acc_max_eval_std,icl_acc_mean_eval_mean,icl_acc_mean_eval_max,icl_acc_mean_eval_std,test_in_dist_mean,test_in_dist_max,test_in_dist_std,test_novel_classes_mean,test_novel_classes_max,test_novel_classes_std,n_mechanism_runs
bottleneck_bridge_n5_m12_seed7,topology_name,5,g0448_bottleneck_bridge_seed7_trainseed1;g0448_bottleneck_bridge_seed7_trainseed2;g0448_bottleneck_bridge_seed7_trainseed3;g0448_bottleneck_bridge_seed7_trainseed4;g0448_bottleneck_bridge_seed7_trainseed5,1;2;3;4;5,test_novel_classes,84.32,91.6,8.097999753025434,bottleneck_bridge_n5_m12_seed7,bottleneck_bridge_n5_m12_seed7,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,7.810778149503936,5.642794690155264,62.4862251960315,5.642794690155264,0.6843692543982401,0.3627906976744186,0.017426837329487414,0.22577519379844957,0.0,1.5,85.364,92.44,7.2221703109245485,84.1,92.3,7.959145682797871,83.0,90.0,6.4265076052238514,86.5,91.0,5.8395205282625735,77.28,83.55,5.636275365877718,84.47999999999999,94.0,9.099098856480236,84.32,91.6,8.097999753025434,0
cycle_chords_n5_m12_seed41,topology_name,5,g0040_cycle_chords_seed41_trainseed1;g0040_cycle_chords_seed41_trainseed2;g0040_cycle_chords_seed41_trainseed3;g0040_cycle_chords_seed41_trainseed4;g0040_cycle_chords_seed41_trainseed5,1;2;3;4;5,test_novel_classes,83.24000000000001,91.2,6.328854556710876,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.003451676528599605,0.08012820512820507,0.0,1.6,84.62,92.24,5.88876897152537,84.12,92.1,6.536176252213521,83.8,93.5,7.606576102294646,86.6,93.5,4.800000000000001,77.35,83.0,5.7148928248918205,84.76,91.4,5.905116425609237,83.24000000000001,91.2,6.328854556710876,0
cycle_chords_n5_m12_seed46,topology_name,5,g0045_cycle_chords_seed46_trainseed1;g0045_cycle_chords_seed46_trainseed2;g0045_cycle_chords_seed46_trainseed3;g0045_cycle_chords_seed46_trainseed4;g0045_cycle_chords_seed46_trainseed5,1;2;3;4;5,test_novel_classes,88.52000000000001,96.6,10.249370712390101,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,89.732,97.58,9.906931714713691,89.5,97.4,9.809383262978365,90.3,97.5,8.182909018191513,91.1,97.5,8.132650244538985,81.38000000000001,88.05,7.514093425024735,89.32000000000001,97.6,10.62269269065052,88.52000000000001,96.6,10.249370712390101,0
cycle_chords_n5_m12_seed83,topology_name,5,g0082_cycle_chords_seed83_trainseed1;g0082_cycle_chords_seed83_trainseed2;g0082_cycle_chords_seed83_trainseed3;g0082_cycle_chords_seed83_trainseed4;g0082_cycle_chords_seed83_trainseed5,1;2;3;4;5,test_novel_classes,83.0,90.4,7.628368108579977,cycle_chords_n5_m12_seed83,cycle_chords_n5_m12_seed83,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.229266214850508,4.935847223049586,65.83412971880412,4.935847223049586,0.5062114182829146,0.27,0.03732638888888889,0.3166666666666669,0.0,1.4,84.488,92.2,7.82351941264288,84.76,91.3,7.146635572071658,84.8,92.0,9.780593029055037,86.4,92.0,6.643794096749236,77.78,86.2,6.700567140175526,83.64,91.2,7.259090852165993,83.0,90.4,7.628368108579977,0
cycle_chords_n5_m12_seed86,topology_name,5,g0085_cycle_chords_seed86_trainseed1;g0085_cycle_chords_seed86_trainseed2;g0085_cycle_chords_seed86_trainseed3;g0085_cycle_chords_seed86_trainseed4;g0085_cycle_chords_seed86_trainseed5,1;2;3;4;5,test_novel_classes,79.6,83.4,2.9092954473549106,cycle_chords_n5_m12_seed86,cycle_chords_n5_m12_seed86,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,7.814830948961455,9.874634435020187,62.518647591691646,9.874634435020187,0.6660897157436482,0.3686274509803922,0.013520440856080998,0.17892156862745145,0.0,1.6,79.42,82.44,2.7571289414896794,78.38,81.9,2.448182999695899,78.2,85.0,5.446099521676041,78.8,85.0,5.221110992882645,71.84,73.7,1.89773549263326,79.96000000000001,84.4,3.3163835725078625,79.6,83.4,2.9092954473549106,0
degree_balanced_n5_m12_seed9,topology_name,5,g0354_degree_balanced_seed9_trainseed1;g0354_degree_balanced_seed9_trainseed2;g0354_degree_balanced_seed9_trainseed3;g0354_degree_balanced_seed9_trainseed4;g0354_degree_balanced_seed9_trainseed5,1;2;3;4;5,test_novel_classes,94.84,98.6,4.2320680523829015,degree_balanced_n5_m12_seed9,degree_balanced_n5_m12_seed9,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.926156311337124,2.8709247025015543,71.40925049069702,2.8709247025015543,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,95.52399999999999,98.94,3.5337549433994404,95.44,98.6,3.656555756446221,95.3,98.5,2.908607914449797,96.2,99.5,3.2186953878862163,86.06,92.75,5.230239000275224,95.03999999999999,98.4,3.8789689351682135,94.84,98.6,4.2320680523829015,0
hub_spoke_n5_m12_seed76,topology_name,5,g0267_hub_spoke_seed76_trainseed1;g0267_hub_spoke_seed76_trainseed2;g0267_hub_spoke_seed76_trainseed3;g0267_hub_spoke_seed76_trainseed4;g0267_hub_spoke_seed76_trainseed5,1;2;3;4;5,test_novel_classes,77.68,89.6,8.83139853024423,hub_spoke_n5_m12_seed76,hub_spoke_n5_m12_seed76,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.023994995704754,4.600884908466828,64.19195996563803,4.600884908466828,0.3938299643454349,0.21714285714285708,0.0365079365079365,0.29166666666666674,0.0,1.4,80.688,91.46,7.823764822641334,80.25999999999999,89.3,7.775499983923864,81.5,93.5,8.300602387778854,81.5,93.5,8.300602387778854,74.15,80.6,5.574316101550037,79.8,90.6,8.846242140027595,77.68,89.6,8.83139853024423,0
random_sc_n5_m12_seed2,topology_name,5,g0097_random_sc_seed2_trainseed1;g0097_random_sc_seed2_trainseed2;g0097_random_sc_seed2_trainseed3;g0097_random_sc_seed2_trainseed4;g0097_random_sc_seed2_trainseed5,1;2;3;4;5,test_novel_classes,85.0,90.8,3.1470621220433492,random_sc_n5_m12_seed2,random_sc_n5_m12_seed2,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.177038058040269,8.131457681291458,65.4163044643222,8.131457681291458,0.9341084486021952,0.5062500000000001,0.01108127170138889,0.173828125,0.0,1.6,85.268,91.4,3.252312408118265,84.76,90.2,2.930938416275579,88.4,93.5,3.246536616149585,88.4,93.5,3.246536616149585,78.44,82.15,2.196224032288147,84.11999999999999,90.4,3.388450973527581,85.0,90.8,3.1470621220433492,0
random_sc_n5_m12_seed92,topology_name,5,g0187_random_sc_seed92_trainseed1;g0187_random_sc_seed92_trainseed2;g0187_random_sc_seed92_trainseed3;g0187_random_sc_seed92_trainseed4;g0187_random_sc_seed92_trainseed5,1;2;3;4;5,test_novel_classes,93.84,98.0,4.362384668962605,random_sc_n5_m12_seed92,random_sc_n5_m12_seed92,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,9.084968325580327,3.619948864182048,72.67974660464266,3.619948864182048,0.5098241215562822,0.2714285714285716,0.010393046107331822,0.1517857142857142,0.0,1.45,95.216,98.44,3.2107668865864394,95.05999999999999,98.2,3.1327942798722064,94.6,98.5,3.3674916480965473,95.2,98.5,3.458323293158116,86.16,92.95,5.204267479674732,95.52000000000001,98.0,2.9301194514899915,93.84,98.0,4.362384668962605,0
redundant_paths_n5_m12_seed1,topology_name,5,g0533_redundant_paths_seed1_trainseed1;g0533_redundant_paths_seed1_trainseed2;g0533_redundant_paths_seed1_trainseed3;g0533_redundant_paths_seed1_trainseed4;g0533_redundant_paths_seed1_trainseed5,1;2;3;4;5,test_novel_classes,94.99999999999999,96.6,2.039607805437113,redundant_paths_n5_m12_seed1,redundant_paths_n5_m12_seed1,full,,3.0,5.0,12.0,8.0,96.0,96.0,12.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,88.0,40.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,artifact,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,artifact,11.0,8.37018811205242,4.226698292783317,66.96150489641934,4.226698292783317,0.3710731902199349,0.20625000000000004,0.0037163628472222225,0.10091145833333348,0.0,1.4,95.312,97.4,2.299586049705468,94.68,96.3,2.185772174770279,95.1,97.5,2.2449944320643644,95.2,97.5,2.227105745132009,87.05,91.4,3.3092295175765614,94.32000000000001,97.2,2.741094671841892,94.99999999999999,96.6,2.039607805437113,0
