control_topology_name,control_topology_id,control_kind,source_topology_name,source_topology_id,source_original_target_mean,source_original_target_max,source_retrain_target_mean,source_retrain_target_max,control_retrain_target_mean,control_retrain_target_max,control_minus_source_retrain_mean,control_minus_source_retrain_max,control_beats_source_retrain_mean,control_beats_source_retrain_max,match_score,source_n_edges,control_n_edges,source_d_rel,control_d_rel,source_effective_rank_D,control_effective_rank_D,source_root_tree_count_gini,control_root_tree_count_gini,source_edge_participation_gini,control_edge_participation_gini
matched_control_random_sc_for_ess0000_input_ablation_loss_m14_seed1934,ctrl0046_random_sc_for_ess0000_input_ablation_loss_m14,random_sc,essential_input_ablation_loss_n6_m14_0000,ess0000_input_ablation_loss_m14,94.2,94.2,68.92,73.8,68.93333333333334,84.2,0.013333333333335418,10.400000000000006,1,1,0.0022484805171894026,14.0,14.0,260.0,260.0,9.911833166946767,9.905902428704172,0.2435897435897436,0.23643410852713176,0.18551448551448568,0.19125138427463972
matched_control_degree_rewire_for_ess0000_input_ablation_loss_m14_seed2591,ctrl0124_degree_rewire_for_ess0000_input_ablation_loss_m14,degree_rewire,essential_input_ablation_loss_n6_m14_0000,ess0000_input_ablation_loss_m14,94.2,94.2,68.92,73.8,79.8,81.6,10.879999999999995,7.799999999999997,1,1,0.002009214052188754,14.0,14.0,260.0,260.0,9.911833166946767,9.923656134869015,0.2435897435897436,0.24871794871794872,0.18551448551448568,0.17978021978021985
matched_control_random_sc_for_ess0002_input_ablation_loss_m14_seed101696,ctrl0160_random_sc_for_ess0002_input_ablation_loss_m14,random_sc,essential_input_ablation_loss_n6_m14_0002,ess0002_input_ablation_loss_m14,91.8,91.8,66.76,74.0,71.2,73.2,4.439999999999998,-0.7999999999999972,1,0,0.008817682424728511,14.0,14.0,260.0,260.0,9.926917592828927,10.11782286007212,0.38584474885844733,0.38888888888888884,0.19726027397260282,0.22789115646258473
matched_control_degree_rewire_for_ess0002_input_ablation_loss_m14_seed102574,ctrl0248_degree_rewire_for_ess0002_input_ablation_loss_m14,degree_rewire,essential_input_ablation_loss_n6_m14_0002,ess0002_input_ablation_loss_m14,91.8,91.8,66.76,74.0,64.46666666666667,72.4,-2.2933333333333366,-1.5999999999999943,0,0,0.0005891208402548332,14.0,14.0,260.0,260.0,9.926917592828927,9.894095088170097,0.38584474885844733,0.3859649122807016,0.19726027397260282,0.1973684210526312
matched_control_random_sc_for_ess0005_input_ablation_loss_m15_seed201373,ctrl0266_random_sc_for_ess0005_input_ablation_loss_m15,random_sc,essential_input_ablation_loss_n6_m15_0005,ess0005_input_ablation_loss_m15,85.4,85.4,77.0,84.4,73.8,80.4,-3.200000000000003,-4.0,0,0,0.0030991640376513453,15.0,15.0,280.0,280.0,10.972752758650381,11.069475705995588,0.2736185383244205,0.26388888888888884,0.20606060606060628,0.20611111111111136
matched_control_degree_rewire_for_ess0005_input_ablation_loss_m15_seed201639,ctrl0321_degree_rewire_for_ess0005_input_ablation_loss_m15,degree_rewire,essential_input_ablation_loss_n6_m15_0005,ess0005_input_ablation_loss_m15,85.4,85.4,77.0,84.4,63.06666666666666,77.8,-13.933333333333337,-6.6000000000000085,0,0,0.002511920484782417,15.0,15.0,280.0,280.0,10.972752758650381,11.129383063528236,0.2736185383244205,0.2738095238095237,0.20606060606060628,0.20666666666666655
matched_control_random_sc_for_ess0007_input_ablation_loss_m15_seed301526,ctrl0403_random_sc_for_ess0007_input_ablation_loss_m15,random_sc,essential_input_ablation_loss_n6_m15_0007,ess0007_input_ablation_loss_m15,88.6,88.6,68.88,83.8,80.2,81.2,11.320000000000007,-2.5999999999999943,1,0,0.010539045948661804,15.0,15.0,280.0,280.0,10.06788656846112,10.49779722468633,0.47274633123689713,0.47959183673469385,0.1856603773584904,0.1719727891156464
matched_control_degree_rewire_for_ess0007_input_ablation_loss_m15_seed302183,ctrl0480_degree_rewire_for_ess0007_input_ablation_loss_m15,degree_rewire,essential_input_ablation_loss_n6_m15_0007,ess0007_input_ablation_loss_m15,88.6,88.6,68.88,83.8,66.46666666666667,67.2,-2.413333333333327,-16.599999999999994,0,0,0.015574109119948347,15.0,15.0,280.0,280.0,10.06788656846112,10.001837884097606,0.47274633123689713,0.5552016985138004,0.1856603773584904,0.18123142250530777
matched_control_random_sc_for_ess0012_input_ablation_loss_m13_seed401237,ctrl0512_random_sc_for_ess0012_input_ablation_loss_m13,random_sc,essential_input_ablation_loss_n6_m13_0012,ess0012_input_ablation_loss_m13,86.6,86.6,57.44,67.8,65.73333333333333,71.2,8.293333333333337,3.4000000000000057,1,1,0.052779009497633034,13.0,13.0,220.0,240.0,7.9679615486449284,8.476286267264175,0.44771241830065356,0.46168582375478917,0.26787330316742075,0.21078691423519014
matched_control_degree_rewire_for_ess0012_input_ablation_loss_m13_seed401928,ctrl0590_degree_rewire_for_ess0012_input_ablation_loss_m13,degree_rewire,essential_input_ablation_loss_n6_m13_0012,ess0012_input_ablation_loss_m13,86.6,86.6,57.44,67.8,58.4,63.0,0.9600000000000009,-4.799999999999997,1,0,0.011070181488685901,13.0,13.0,220.0,220.0,7.9679615486449284,7.9610605608549285,0.44771241830065356,0.49382716049382713,0.26787330316742075,0.2484330484330486
matched_control_random_sc_for_ess0029_input_ablation_loss_m11_seed501985,ctrl0681_random_sc_for_ess0029_input_ablation_loss_m11,random_sc,essential_input_ablation_loss_n6_m11_0029,ess0029_input_ablation_loss_m11,89.0,89.0,62.2,69.6,66.8,68.0,4.599999999999994,-1.5999999999999943,1,0,0.0077170107095104745,11.0,11.0,200.0,200.0,7.083013290210433,7.168627005042335,0.3939393939393938,0.3666666666666667,0.1966942148760331,0.20363636363636384
matched_control_degree_rewire_for_ess0029_input_ablation_loss_m11_seed501894,ctrl0708_degree_rewire_for_ess0029_input_ablation_loss_m11,degree_rewire,essential_input_ablation_loss_n6_m11_0029,ess0029_input_ablation_loss_m11,89.0,89.0,62.2,69.6,55.93333333333334,58.0,-6.266666666666666,-11.599999999999994,0,0,5.93190166573808e-05,11.0,11.0,200.0,200.0,7.083013290210433,7.080492345910354,0.3939393939393938,0.3939393939393938,0.1966942148760331,0.1966942148760331
matched_control_random_sc_for_ess0043_input_ablation_loss_m15_seed601322,ctrl0752_random_sc_for_ess0043_input_ablation_loss_m15,random_sc,essential_input_ablation_loss_n6_m15_0043,ess0043_input_ablation_loss_m15,93.4,93.4,80.4,88.6,75.4,77.4,-5.0,-11.199999999999989,0,0,0.007872567006734622,15.0,15.0,280.0,280.0,10.682165512476754,10.73305396534351,0.3745704467353952,0.38888888888888884,0.1929896907216495,0.16483660130718958
matched_control_degree_rewire_for_ess0043_input_ablation_loss_m15_seed601911,ctrl0826_degree_rewire_for_ess0043_input_ablation_loss_m15,degree_rewire,essential_input_ablation_loss_n6_m15_0043,ess0043_input_ablation_loss_m15,93.4,93.4,80.4,88.6,68.60000000000001,73.8,-11.799999999999997,-14.799999999999997,0,0,0.0015633060679484687,15.0,15.0,280.0,280.0,10.682165512476754,10.648089683673174,0.3745704467353952,0.3784722222222221,0.1929896907216495,0.19527777777777788
matched_control_random_sc_for_ess0049_input_ablation_loss_m11_seed702155,ctrl0929_random_sc_for_ess0049_input_ablation_loss_m11,random_sc,essential_input_ablation_loss_n6_m11_0049,ess0049_input_ablation_loss_m11,87.6,87.6,61.879999999999995,64.4,62.73333333333333,69.4,0.8533333333333317,5.0,1,1,0.013325592803179019,11.0,11.0,200.0,200.0,7.018143720620658,7.049975100900535,0.4166666666666665,0.350574712643678,0.28409090909090917,0.2934169278996863
matched_control_degree_rewire_for_ess0049_input_ablation_loss_m11_seed702132,ctrl0959_degree_rewire_for_ess0049_input_ablation_loss_m11,degree_rewire,essential_input_ablation_loss_n6_m11_0049,ess0049_input_ablation_loss_m11,87.6,87.6,61.879999999999995,64.4,61.4,64.0,-0.4799999999999969,-0.4000000000000057,0,0,0.0006092178471513489,11.0,11.0,200.0,200.0,7.018143720620658,7.00844057680758,0.4166666666666665,0.4166666666666665,0.28409090909090917,0.28181818181818197
matched_control_random_sc_for_ess0051_input_ablation_loss_m10_seed801560,ctrl1003_random_sc_for_ess0051_input_ablation_loss_m10,random_sc,essential_input_ablation_loss_n6_m10_0051,ess0051_input_ablation_loss_m10,87.2,87.2,62.0,64.2,53.93333333333334,54.8,-8.066666666666663,-9.400000000000006,0,0,0.008222288097855936,10.0,10.0,180.0,180.0,6.202172324015854,6.277289973594461,0.26388888888888884,0.25,0.22999999999999998,0.2533333333333334
matched_control_degree_rewire_for_ess0051_input_ablation_loss_m10_seed802336,ctrl1083_degree_rewire_for_ess0051_input_ablation_loss_m10,degree_rewire,essential_input_ablation_loss_n6_m10_0051,ess0051_input_ablation_loss_m10,87.2,87.2,62.0,64.2,58.53333333333334,62.2,-3.4666666666666615,-2.0,0,0,0.0066623332258935,10.0,10.0,180.0,180.0,6.202172324015854,6.21360098151649,0.26388888888888884,0.25757575757575757,0.22999999999999998,0.2618181818181817
matched_control_random_sc_for_ess0052_input_ablation_loss_m10_seed901356,ctrl1114_random_sc_for_ess0052_input_ablation_loss_m10,random_sc,essential_input_ablation_loss_n6_m10_0052,ess0052_input_ablation_loss_m10,89.2,89.2,57.279999999999994,63.8,62.53333333333333,67.0,5.253333333333337,3.200000000000003,1,1,0.009947664813921552,10.0,10.0,180.0,180.0,6.202172324015854,6.2277899832888055,0.26388888888888884,0.3194444444444444,0.22999999999999998,0.22999999999999998
matched_control_degree_rewire_for_ess0052_input_ablation_loss_m10_seed902013,ctrl1190_degree_rewire_for_ess0052_input_ablation_loss_m10,degree_rewire,essential_input_ablation_loss_n6_m10_0052,ess0052_input_ablation_loss_m10,89.2,89.2,57.279999999999994,63.8,54.13333333333333,54.8,-3.146666666666661,-9.0,0,0,0.008672218860883821,10.0,10.0,180.0,180.0,6.202172324015854,6.1764678904696995,0.26388888888888884,0.25,0.22999999999999998,0.264
matched_control_random_sc_for_ess0061_input_ablation_loss_m14_seed1001237,ctrl1233_random_sc_for_ess0061_input_ablation_loss_m14,random_sc,essential_input_ablation_loss_n6_m14_0061,ess0061_input_ablation_loss_m14,88.6,88.6,70.88000000000001,80.4,73.2,84.0,2.319999999999993,3.5999999999999943,1,1,0.006647922834630293,14.0,14.0,260.0,260.0,9.356164776778224,9.406410973554589,0.38888888888888884,0.3599999999999999,0.24162826420890937,0.2360000000000002
matched_control_degree_rewire_for_ess0061_input_ablation_loss_m14_seed1002574,ctrl1351_degree_rewire_for_ess0061_input_ablation_loss_m14,degree_rewire,essential_input_ablation_loss_n6_m14_0061,ess0061_input_ablation_loss_m14,88.6,88.6,70.88000000000001,80.4,65.8,67.8,-5.0800000000000125,-12.600000000000009,0,0,0.0,14.0,14.0,260.0,260.0,9.356164776778224,9.356164776778224,0.38888888888888884,0.38888888888888884,0.24162826420890937,0.24162826420890937
matched_control_random_sc_for_ess0068_input_ablation_loss_m16_seed1101934,ctrl1402_random_sc_for_ess0068_input_ablation_loss_m16,random_sc,essential_input_ablation_loss_n6_m16_0068,ess0068_input_ablation_loss_m16,86.4,86.4,72.76,76.2,78.39999999999999,85.6,5.639999999999986,9.399999999999991,1,1,0.007510989457847787,16.0,16.0,300.0,300.0,11.47005110393074,11.371528091839885,0.44308943089430897,0.4530303030303029,0.17164634146341484,0.19818181818181801
matched_control_degree_rewire_for_ess0068_input_ablation_loss_m16_seed1102506,ctrl1475_degree_rewire_for_ess0068_input_ablation_loss_m16,degree_rewire,essential_input_ablation_loss_n6_m16_0068,ess0068_input_ablation_loss_m16,86.4,86.4,72.76,76.2,88.0,91.0,15.239999999999995,14.799999999999997,1,1,0.0,16.0,16.0,300.0,300.0,11.47005110393074,11.470051103930738,0.44308943089430897,0.44308943089430897,0.17164634146341484,0.17164634146341484
matched_control_random_sc_for_ess0072_input_ablation_loss_m12_seed1201373,ctrl1497_random_sc_for_ess0072_input_ablation_loss_m12,random_sc,essential_input_ablation_loss_n6_m12_0072,ess0072_input_ablation_loss_m12,87.4,87.4,64.16,69.6,63.06666666666666,66.4,-1.0933333333333337,-3.1999999999999886,0,0,0.009680870279401425,12.0,12.0,220.0,220.0,7.81732779364382,7.941668134004918,0.3141025641025641,0.2999999999999998,0.2185897435897437,0.24666666666666703
matched_control_degree_rewire_for_ess0072_input_ablation_loss_m12_seed1202489,ctrl1601_degree_rewire_for_ess0072_input_ablation_loss_m12,degree_rewire,essential_input_ablation_loss_n6_m12_0072,ess0072_input_ablation_loss_m12,87.4,87.4,64.16,69.6,65.46666666666667,67.2,1.306666666666672,-2.3999999999999915,1,0,0.00388687703664182,12.0,12.0,220.0,220.0,7.81732779364382,7.952715556006747,0.3141025641025641,0.3181818181818181,0.2185897435897437,0.216666666666667
matched_control_random_sc_for_ess0073_input_ablation_loss_m14_seed1301254,ctrl1617_random_sc_for_ess0073_input_ablation_loss_m14,random_sc,essential_input_ablation_loss_n6_m14_0073,ess0073_input_ablation_loss_m14,89.8,89.8,73.8,79.2,67.46666666666667,76.0,-6.333333333333329,-3.200000000000003,0,0,0.0039300350670942895,14.0,14.0,260.0,260.0,9.64732516641825,9.776453168670965,0.26068376068376065,0.25213675213675213,0.17692307692307674,0.17527472527472532
matched_control_degree_rewire_for_ess0073_input_ablation_loss_m14_seed1302353,ctrl1721_degree_rewire_for_ess0073_input_ablation_loss_m14,degree_rewire,essential_input_ablation_loss_n6_m14_0073,ess0073_input_ablation_loss_m14,89.8,89.8,73.8,79.2,66.99999999999999,71.8,-6.800000000000011,-7.400000000000006,0,0,0.0031020689614876407,14.0,14.0,260.0,260.0,9.64732516641825,9.649546370295697,0.26068376068376065,0.2749999999999999,0.17692307692307674,0.17285714285714304
matched_control_random_sc_for_ess0076_input_ablation_loss_m14_seed1401169,ctrl1740_random_sc_for_ess0076_input_ablation_loss_m14,random_sc,essential_input_ablation_loss_n6_m14_0076,ess0076_input_ablation_loss_m14,88.6,88.6,65.47999999999999,75.0,64.33333333333333,69.0,-1.1466666666666612,-6.0,0,0,0.007227412627044989,14.0,14.0,260.0,260.0,9.316461105797337,9.257142068176858,0.3125,0.28240740740740744,0.2735714285714286,0.2666666666666666
matched_control_degree_rewire_for_ess0076_input_ablation_loss_m14_seed1401639,ctrl1807_degree_rewire_for_ess0076_input_ablation_loss_m14,degree_rewire,essential_input_ablation_loss_n6_m14_0076,ess0076_input_ablation_loss_m14,88.6,88.6,65.47999999999999,75.0,73.06666666666666,77.2,7.586666666666673,2.200000000000003,1,1,0.002860364237795342,14.0,14.0,260.0,260.0,9.316461105797337,9.41555295562591,0.3125,0.3181818181818181,0.2735714285714286,0.2727272727272727
