idx,selected,topology_id,topology_name,family,control_kind,seed,source_topology_id,source_topology_name,source_edge_json,source_n_edges,source_d_rel,source_effective_rank_D,source_root_tree_count_gini,source_edge_participation_gini,match_score,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum
46,1,ctrl0046_random_sc_for_ess0000_input_ablation_loss_m14,matched_control_random_sc_for_ess0000_input_ablation_loss_m14_seed1934,matched_motif_control,random_sc,1934,ess0000_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0000,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0000_input_ablation_loss_m14.json,14.0,260.0,9.911833166946767,0.2435897435897436,0.18551448551448568,0.0022484805171894026,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0046_random_sc_for_ess0000_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,9.905902428704172,5.254495678878969,0.23643410852713176,0.19125138427463972,0.0,1.6,0.31943828249996986,0.3194382824999699,129
124,1,ctrl0124_degree_rewire_for_ess0000_input_ablation_loss_m14,matched_control_degree_rewire_for_ess0000_input_ablation_loss_m14_seed2591,matched_motif_control,degree_rewire,2591,ess0000_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0000,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0000_input_ablation_loss_m14.json,14.0,260.0,9.911833166946767,0.2435897435897436,0.18551448551448568,0.002009214052188754,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0124_degree_rewire_for_ess0000_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,9.923656134869015,6.149388219988219,0.24871794871794872,0.17978021978021985,0.0,1.6333333333333333,0.31943828249996986,0.31943828249996986,130
160,1,ctrl0160_random_sc_for_ess0002_input_ablation_loss_m14,matched_control_random_sc_for_ess0002_input_ablation_loss_m14_seed101696,matched_motif_control,random_sc,101696,ess0002_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0002,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0002_input_ablation_loss_m14.json,14.0,260.0,9.926917592828927,0.38584474885844733,0.19726027397260282,0.008817682424728511,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0160_random_sc_for_ess0002_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,10.11782286007212,7.400818359397312,0.38888888888888884,0.22789115646258473,0.0,1.7,0.31943828249996986,0.47380354147934284,126
248,1,ctrl0248_degree_rewire_for_ess0002_input_ablation_loss_m14,matched_control_degree_rewire_for_ess0002_input_ablation_loss_m14_seed102574,matched_motif_control,degree_rewire,102574,ess0002_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0002,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0002_input_ablation_loss_m14.json,14.0,260.0,9.926917592828927,0.38584474885844733,0.19726027397260282,0.0005891208402548332,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0248_degree_rewire_for_ess0002_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,9.894095088170097,6.292403223280337,0.3859649122807016,0.1973684210526312,0.0,1.7333333333333334,0.47380354147934284,0.40406101782088427,152
266,1,ctrl0266_random_sc_for_ess0005_input_ablation_loss_m15,matched_control_random_sc_for_ess0005_input_ablation_loss_m15_seed201373,matched_motif_control,random_sc,201373,ess0005_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0005,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0005_input_ablation_loss_m15.json,15.0,280.0,10.972752758650381,0.2736185383244205,0.20606060606060628,0.0030991640376513453,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0266_random_sc_for_ess0005_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,11.069475705995588,5.412610450124443,0.26388888888888884,0.20611111111111136,0.0,1.6,0.5033222956847166,0.38297084310253526,192
321,1,ctrl0321_degree_rewire_for_ess0005_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0005_input_ablation_loss_m15_seed201639,matched_motif_control,degree_rewire,201639,ess0005_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0005,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0005_input_ablation_loss_m15.json,15.0,280.0,10.972752758650381,0.2736185383244205,0.20606060606060628,0.002511920484782417,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0321_degree_rewire_for_ess0005_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,11.129383063528236,5.472024865048988,0.2738095238095237,0.20666666666666655,0.0,1.6,0.447213595499958,0.38297084310253526,168
403,1,ctrl0403_random_sc_for_ess0007_input_ablation_loss_m15,matched_control_random_sc_for_ess0007_input_ablation_loss_m15_seed301526,matched_motif_control,random_sc,301526,ess0007_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0007,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0007_input_ablation_loss_m15.json,15.0,280.0,10.06788656846112,0.47274633123689713,0.1856603773584904,0.010539045948661804,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0403_random_sc_for_ess0007_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.49779722468633,6.591352492586201,0.47959183673469385,0.1719727891156464,0.0,1.7333333333333334,0.30550504633038933,0.38297084310253526,196
480,1,ctrl0480_degree_rewire_for_ess0007_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0007_input_ablation_loss_m15_seed302183,matched_motif_control,degree_rewire,302183,ess0007_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0007,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0007_input_ablation_loss_m15.json,15.0,280.0,10.06788656846112,0.47274633123689713,0.1856603773584904,0.015574109119948347,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0480_degree_rewire_for_ess0007_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.001837884097606,12.633226658959023,0.5552016985138004,0.18123142250530777,0.0,1.8333333333333333,0.5033222956847166,0.38297084310253526,157
512,1,ctrl0512_random_sc_for_ess0012_input_ablation_loss_m13,matched_control_random_sc_for_ess0012_input_ablation_loss_m13_seed401237,matched_motif_control,random_sc,401237,ess0012_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0012,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0012_input_ablation_loss_m13.json,13.0,220.0,7.9679615486449284,0.44771241830065356,0.26787330316742075,0.052779009497633034,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0512_random_sc_for_ess0012_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.476286267264175,6.3694656707776565,0.46168582375478917,0.21078691423519014,0.0,1.9,0.49254801826406536,0.41424344670265417,87
590,1,ctrl0590_degree_rewire_for_ess0012_input_ablation_loss_m13,matched_control_degree_rewire_for_ess0012_input_ablation_loss_m13_seed401928,matched_motif_control,degree_rewire,401928,ess0012_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0012,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50/topologies/ess0012_input_ablation_loss_m13.json,13.0,220.0,7.9679615486449284,0.44771241830065356,0.26787330316742075,0.011070181488685901,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_cycle_chords_seed3_c200/essential_input50_matched_controls/topologies/ctrl0590_degree_rewire_for_ess0012_input_ablation_loss_m13.json,220,44,44.0,44,0.0,44,44.0,44,0.0,11,7.9610605608549285,8.45062846807813,0.49382716049382713,0.2484330484330486,0.0,1.9,0.49254801826406536,0.41424344670265417,54
