idx,selected,topology_id,topology_name,family,control_kind,seed,source_topology_id,source_topology_name,source_edge_json,source_n_edges,source_d_rel,source_effective_rank_D,source_root_tree_count_gini,source_edge_participation_gini,match_score,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum
48,1,ctrl0048_random_sc_for_ess0000_input_ablation_loss_m17,matched_control_random_sc_for_ess0000_input_ablation_loss_m17_seed2069,matched_motif_control,random_sc,2069,ess0000_input_ablation_loss_m17,essential_input_ablation_loss_n6_m17_0000,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0000_input_ablation_loss_m17.json,17.0,320.0,12.807729527689768,0.18840579710144922,0.22531969309462885,0.003655547626757575,6,17,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0048_random_sc_for_ess0000_input_ablation_loss_m17.json,320,64,64.0,64,0.0,64,64.0,64,0.0,16,12.858361858156178,4.539737913685277,0.19811320754716966,0.23359230484646676,0.0,1.4666666666666666,0.24253562503633297,0.4282417581929717,318
109,1,ctrl0109_degree_rewire_for_ess0000_input_ablation_loss_m17,matched_control_degree_rewire_for_ess0000_input_ablation_loss_m17_seed2437,matched_motif_control,degree_rewire,2437,ess0000_input_ablation_loss_m17,essential_input_ablation_loss_n6_m17_0000,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0000_input_ablation_loss_m17.json,17.0,320.0,12.807729527689768,0.18840579710144922,0.22531969309462885,9.246274996463879e-17,6,17,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0109_degree_rewire_for_ess0000_input_ablation_loss_m17.json,320,64,64.0,64,0.0,64,64.0,64,0.0,16,12.80772952768976,4.394665534329862,0.18840579710144922,0.22531969309462885,0.0,1.5,0.3766543669078146,0.3766543669078146,276
190,1,ctrl0190_random_sc_for_ess0002_input_ablation_loss_m15,matched_control_random_sc_for_ess0002_input_ablation_loss_m15_seed102307,matched_motif_control,random_sc,102307,ess0002_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0002,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0002_input_ablation_loss_m15.json,15.0,260.0,10.547982034349086,0.16333333333333333,0.30079999999999996,0.03637973397280239,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0190_random_sc_for_ess0002_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.477439181598381,4.595161718468115,0.1875,0.26722222222222203,0.0,1.5333333333333334,0.2,0.5033222956847166,144
212,1,ctrl0212_degree_rewire_for_ess0002_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0002_input_ablation_loss_m15_seed102012,matched_motif_control,degree_rewire,102012,ess0002_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0002,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0002_input_ablation_loss_m15.json,15.0,260.0,10.547982034349086,0.16333333333333333,0.30079999999999996,0.0,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0212_degree_rewire_for_ess0002_input_ablation_loss_m15.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,10.547982034349086,3.901956146055915,0.16333333333333333,0.30079999999999996,0.0,1.6,0.30550504633038933,0.5033222956847166,100
313,1,ctrl0313_random_sc_for_ess0004_input_ablation_loss_m14,matched_control_random_sc_for_ess0004_input_ablation_loss_m14_seed202222,matched_motif_control,random_sc,202222,ess0004_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0004,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0004_input_ablation_loss_m14.json,14.0,260.0,9.758624056062388,0.35947712418300637,0.2605042016806727,0.012223394428770379,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0313_random_sc_for_ess0004_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,9.471172598982339,5.063958636781814,0.36111111111111094,0.2182539682539688,0.0,1.6333333333333333,0.20203050891044214,0.40406101782088427,108
366,1,ctrl0366_degree_rewire_for_ess0004_input_ablation_loss_m14,matched_control_degree_rewire_for_ess0004_input_ablation_loss_m14_seed202522,matched_motif_control,degree_rewire,202522,ess0004_input_ablation_loss_m14,essential_input_ablation_loss_n6_m14_0004,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0004_input_ablation_loss_m14.json,14.0,260.0,9.758624056062388,0.35947712418300637,0.2605042016806727,0.0024972951529239635,6,14,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0366_degree_rewire_for_ess0004_input_ablation_loss_m14.json,260,52,52.0,52,0.0,52,52.0,52,0.0,13,9.834245687347682,5.907620363559615,0.3630952380952379,0.256887755102041,0.0,1.6333333333333333,0.47380354147934284,0.47380354147934284,112
416,1,ctrl0416_random_sc_for_ess0016_input_ablation_loss_m18,matched_control_random_sc_for_ess0016_input_ablation_loss_m18_seed301899,matched_motif_control,random_sc,301899,ess0016_input_ablation_loss_m18,essential_input_ablation_loss_n6_m18_0016,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0016_input_ablation_loss_m18.json,18.0,340.0,13.258521949662772,0.29601990049751237,0.20394693200663383,0.005802163049359037,6,18,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0416_random_sc_for_ess0016_input_ablation_loss_m18.json,340,68,68.0,68,0.0,68,68.0,68,0.0,17,13.406909004488073,5.283926687239103,0.2866666666666666,0.18967901234567885,0.0,1.4,0.2721655269759087,0.38490017945975047,450
472,1,ctrl0472_degree_rewire_for_ess0016_input_ablation_loss_m18,matched_control_degree_rewire_for_ess0016_input_ablation_loss_m18_seed302182,matched_motif_control,degree_rewire,302182,ess0016_input_ablation_loss_m18,essential_input_ablation_loss_n6_m18_0016,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0016_input_ablation_loss_m18.json,18.0,340.0,13.258521949662772,0.29601990049751237,0.20394693200663383,0.0029138326406999288,6,18,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0472_degree_rewire_for_ess0016_input_ablation_loss_m18.json,340,68,68.0,68,0.0,68,68.0,68,0.0,17,13.406364653193485,4.718061226826558,0.2916666666666665,0.20592592592592607,0.0,1.4333333333333333,0.19245008972987523,0.38490017945975047,360
561,1,ctrl0561_random_sc_for_ess0020_input_ablation_loss_m18,matched_control_random_sc_for_ess0020_input_ablation_loss_m18_seed402188,matched_motif_control,random_sc,402188,ess0020_input_ablation_loss_m18,essential_input_ablation_loss_n6_m18_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0020_input_ablation_loss_m18.json,18.0,340.0,13.111117970141045,0.27419354838709675,0.20430107526881724,0.00942786883460796,6,18,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0561_random_sc_for_ess0020_input_ablation_loss_m18.json,340,68,68.0,68,0.0,68,68.0,68,0.0,17,13.590175270253908,4.5529569462410455,0.2771043771043771,0.18718294051627393,0.0,1.4333333333333333,0.4303314829119352,0.3333333333333333,495
580,1,ctrl0580_degree_rewire_for_ess0020_input_ablation_loss_m18,matched_control_degree_rewire_for_ess0020_input_ablation_loss_m18_seed401842,matched_motif_control,degree_rewire,401842,ess0020_input_ablation_loss_m18,essential_input_ablation_loss_n6_m18_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50/topologies/ess0020_input_ablation_loss_m18.json,18.0,340.0,13.111117970141045,0.27419354838709675,0.20430107526881724,0.002932969654345793,6,18,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_hub_spoke_seed63_c200/essential_input50_matched_controls/topologies/ctrl0580_degree_rewire_for_ess0020_input_ablation_loss_m18.json,340,68,68.0,68,0.0,68,68.0,68,0.0,17,13.220568469676591,4.70597807557068,0.27409638554216853,0.21345381526104412,0.0,1.4333333333333333,0.19245008972987523,0.38490017945975047,332
