topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,linear_weight_norm
cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1,cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1,cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1.json,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5,cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5,entry_random,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5,cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5.json,6,20,4,4,20,200,20,21.25,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,entry_random,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21.json,6,20,4,4,20,200,17,19.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48,cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48,entry_random,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48,cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48.json,6,20,4,4,20,200,17,19.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3,cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3,cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9,cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9,cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28,cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28,cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33,cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33,cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46,cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46,cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0139_edge_block_c200_seed60,cycle_chords_n6_m20_seed3__mask0139_edge_block_c200_seed60,edge_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0139_edge_block_c200_seed60,cycle_chords_n6_m20_seed3__mask0139_edge_block_c200_seed60,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0139_edge_block_c200_seed60.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
cycle_chords_n6_m20_seed3__mask0160_coord_block_c200_seed1,cycle_chords_n6_m20_seed3__mask0160_coord_block_c200_seed1,coord_block,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0160_coord_block_c200_seed1,cycle_chords_n6_m20_seed3__mask0160_coord_block_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0160_coord_block_c200_seed1.json,6,20,4,4,20,190,0,19.0,0.25,0,1.0,2,0.738,1.0093873614205044,0.014217410724284054,0.738,0.561,0.021812025578089773,-0.1894707530003847,1.0,0.16196670111964526
cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3,cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3,balanced,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3,cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0002_cycle_chords_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_cycle_chords_seed3_c200/masks/cycle_chords_n6_m20_seed3__mask0242_balanced_c200_seed3.json,6,20,4,4,20,200,19,20.25,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
