topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,rank_mass_min,rank_mass_mean,rank_mass_max,rank_mass_gini,rank_dim_mass_min,rank_dim_mass_mean,rank_dim_mass_max,rank_dim_mass_gini,rank_nonzero_fraction,rank_weight_entropy,rank_weight_effective_entries,rooted_polytope_n_roots,rooted_polytope_common_rank_total,rooted_polytope_common_rank_mean,rooted_polytope_common_rank_max,rooted_polytope_supported_branch_dim_fraction,rooted_polytope_branch_root_support_min,rooted_polytope_branch_root_support_mean,rooted_polytope_branch_root_support_max,rooted_polytope_branch_root_support_gini,rooted_polytope_branch_best_rank_min,rooted_polytope_branch_best_rank_mean,rooted_polytope_branch_best_rank_max,rooted_polytope_branch_best_rank_gini,rooted_polytope_root_rank_mass_min,rooted_polytope_root_rank_mass_mean,rooted_polytope_root_rank_mass_max,rooted_polytope_root_rank_mass_gini,rooted_polytope_root_rank_mass_effective,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,rank_weighted_oracle_test_accuracy,rank_weighted_oracle_test_margin_mean,rank_weighted_oracle_test_margin_p10,rank_weighted_oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,rank_weighted_linear_test_accuracy,rank_weighted_linear_test_margin_mean,rank_weighted_linear_test_margin_p10,rank_weighted_linear_test_margin_finite_fraction,linear_weight_norm,weighted_linear_weight_norm,tropical_feature_trials,tropical_feature_mode,tropical_projection_radius,tropical_edge_bias_scale,tropical_linear_train_accuracy_mean,tropical_linear_train_accuracy_max,tropical_linear_train_accuracy_std,tropical_linear_test_accuracy_mean,tropical_linear_test_accuracy_max,tropical_linear_test_accuracy_std,tropical_linear_test_margin_p10_mean,tropical_linear_test_margin_p10_max,tropical_linear_test_margin_p10_std,tropical_root_feature_effective_rank_mean,tropical_root_feature_effective_rank_max,tropical_root_feature_effective_rank_std,tropical_root_feature_variance_mean,tropical_root_feature_variance_max,tropical_root_feature_variance_std,normal_fan_trials,normal_fan_branch_root_nmi_mean,normal_fan_branch_root_nmi_max,normal_fan_branch_root_nmi_std,normal_fan_branch_tree_nmi_mean,normal_fan_branch_tree_nmi_max,normal_fan_branch_tree_nmi_std,normal_fan_active_root_count_mean,normal_fan_active_root_count_max,normal_fan_active_root_count_std,normal_fan_active_tree_count_mean,normal_fan_active_tree_count_max,normal_fan_active_tree_count_std,normal_fan_branch_active_tree_count_min_mean,normal_fan_branch_active_tree_count_min_max,normal_fan_branch_active_tree_count_min_std,gamma_star_proxy_trials,gamma_star_projection_radius,gamma_star_decoder_radius,gamma_star_edge_bias_radius,gamma_star_mode,gamma_star_selected_trial,gamma_star_selected_train_branch_margin_p10_min,gamma_star_selected_train_branch_margin_mean_min,gamma_star_selected_test_branch_margin_p10_min,gamma_star_selected_test_branch_margin_mean_min,gamma_star_selected_test_sample_margin_min,gamma_star_selected_test_accuracy,gamma_star_selected_projection_norm,gamma_star_selected_decoder_norm,gamma_star_train_branch_margin_p10_min_mean,gamma_star_train_branch_margin_p10_min_max,gamma_star_train_branch_margin_p10_min_std,gamma_star_test_branch_margin_p10_min_mean,gamma_star_test_branch_margin_p10_min_max,gamma_star_test_branch_margin_p10_min_std,gamma_star_test_branch_margin_mean_min_mean,gamma_star_test_branch_margin_mean_min_max,gamma_star_test_branch_margin_mean_min_std,gamma_star_test_accuracy_mean,gamma_star_test_accuracy_max,gamma_star_test_accuracy_std,gamma_star_projection_norm_mean,gamma_star_projection_norm_max,gamma_star_projection_norm_std,gamma_star_decoder_norm_mean,gamma_star_decoder_norm_max,gamma_star_decoder_norm_std,gamma_star_opt_available,gamma_star_opt_restarts,gamma_star_opt_steps,gamma_star_opt_learning_rate,gamma_star_opt_projection_radius,gamma_star_opt_decoder_radius,gamma_star_opt_edge_bias_radius,gamma_star_opt_mode,gamma_star_opt_branch_softmin_temperature,gamma_star_opt_incorrect_temperature,gamma_star_opt_selected_restart,gamma_star_opt_selected_train_branch_margin_p10_min,gamma_star_opt_selected_train_branch_margin_mean_min,gamma_star_opt_selected_test_branch_margin_p10_min,gamma_star_opt_selected_test_branch_margin_mean_min,gamma_star_opt_selected_test_sample_margin_min,gamma_star_opt_selected_test_accuracy,gamma_star_opt_selected_projection_norm,gamma_star_opt_selected_decoder_norm,gamma_star_opt_selected_edge_bias_norm,gamma_star_opt_train_branch_margin_p10_min_mean,gamma_star_opt_train_branch_margin_p10_min_max,gamma_star_opt_train_branch_margin_p10_min_std,gamma_star_opt_test_branch_margin_p10_min_mean,gamma_star_opt_test_branch_margin_p10_min_max,gamma_star_opt_test_branch_margin_p10_min_std,gamma_star_opt_test_branch_margin_mean_min_mean,gamma_star_opt_test_branch_margin_mean_min_max,gamma_star_opt_test_branch_margin_mean_min_std,gamma_star_opt_test_accuracy_mean,gamma_star_opt_test_accuracy_max,gamma_star_opt_test_accuracy_std,gamma_star_opt_projection_norm_mean,gamma_star_opt_projection_norm_max,gamma_star_opt_projection_norm_std,gamma_star_opt_decoder_norm_mean,gamma_star_opt_decoder_norm_max,gamma_star_opt_decoder_norm_std,gamma_star_opt_edge_bias_norm_mean,gamma_star_opt_edge_bias_norm_max,gamma_star_opt_edge_bias_norm_std
degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,degree_rewire_exact_degree,degree_rewire_base,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4213541666666667,0.4625,0.025210700646418643,0.43854166666666666,0.5,0.03490749183357508,-0.09913353898217261,-0.027507736657384374,0.04722779232678192,3.0953459803923655,3.4214472133859144,0.34082417869270765,0.03760601370117264,0.05038487282130198,0.009622897014447697,8,0.022450651301967037,0.043628066352442756,0.011064287441019227,0.15825281392185891,0.21317783683061975,0.028354325867409907,5.0,5.0,0.0,51.625,56.0,3.1598061649411346,27.125,30.0,2.1469455046647083,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.42291666666666666,0.45416666666666666,0.018633899812498245,0.4239583333333333,0.4666666666666667,0.03252603124165832,-0.08973458663886874,-0.044523490221853465,0.028675242427254184,3.176166502001306,3.5545183167833097,0.3815535427949808,0.04461097618815624,0.06185709863118893,0.010904210075304597,8,0.018745850665571405,0.04865651015157497,0.013399283821892365,0.14725968363837505,0.20139641045352535,0.022117083376430004,5.0,5.0,0.0,47.0,52.0,2.958039891549808,25.375,28.0,2.117634293262177,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0002_baseg0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0002_seed2.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4192708333333333,0.5,0.03852406692755697,0.421875,0.5166666666666667,0.05089263958460879,-0.12107648633778709,-0.05400644341536961,0.05190876997982393,2.9190334506412228,3.6888774017294543,0.5162425240701395,0.05893859050798994,0.08595912451834863,0.017216848681229836,8,0.023901910998769718,0.03785700702065514,0.008506329905145145,0.1364345916043961,0.18772716730335612,0.02402731490856731,5.0,5.0,0.0,39.25,44.0,2.9895651857753496,23.0,24.0,1.118033988749895,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0003_baseg0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0003_seed3.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.43281250000000004,0.475,0.03349164878285995,0.42552083333333335,0.48333333333333334,0.033231452376977645,-0.09475143063078117,-0.05332547276333855,0.029534811954055534,2.9681292949454785,3.305243234004129,0.3045445487856826,0.047204216497965405,0.06133924101887522,0.007171508699408651,8,0.022346733010144677,0.050844741258139536,0.011754316965896665,0.16033345967029106,0.20909180190679597,0.026211065850752256,5.0,5.0,0.0,50.75,55.0,2.7271780286589284,27.125,29.0,1.165922381636102,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0004_baseg0354_degree_balanced_seed9_seed4,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed4,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed4,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0004_seed4.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.42447916666666663,0.4625,0.024688818530190275,0.43125,0.475,0.026187093937451104,-0.10867956286295537,-0.03260747865595903,0.04824919318728957,3.028809499992774,3.380757658502147,0.24848671640404998,0.04212143331765905,0.06035655173567303,0.0099131105117874,8,0.020535919009435688,0.0373488095592362,0.010488496397540598,0.14496965517060703,0.1976749576342937,0.026288632896349213,5.0,5.0,0.0,44.625,46.0,1.8666480653835098,25.0,28.0,1.8027756377319946,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0005_baseg0354_degree_balanced_seed9_seed5,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed5,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed5,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0005_seed5.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.42291666666666666,0.45,0.020518453753741894,0.39479166666666665,0.45,0.028240503566095743,-0.10151078940256651,-0.04840195487359987,0.04623732472330991,3.032847190187527,3.7275187094131597,0.3884708532778618,0.04720487709623816,0.06235335208182016,0.010300163671002973,8,0.01834508086121138,0.0240552600658824,0.00498760284571659,0.14517105847922615,0.18244297434014067,0.0203831859017732,5.0,5.0,0.0,47.875,52.0,2.2603926650031405,25.625,28.0,1.3169567191065923,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0006_baseg0354_degree_balanced_seed9_seed6,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed6,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed6,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0006_seed6.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4390625,0.5041666666666667,0.02715834963434102,0.39739583333333334,0.42083333333333334,0.019866907419542335,-0.12314064751328067,-0.07462876047772594,0.04379182609463013,2.9659216251352327,3.509676843846157,0.3392508880566108,0.04975185833331702,0.06525463551092804,0.009149673219187008,8,0.02158515551530798,0.03499439572358064,0.008626421634968127,0.14320201355560358,0.18363933960791576,0.02138612296939729,5.0,5.0,0.0,47.0,49.0,2.449489742783178,25.375,28.0,1.5761900266148114,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0007_baseg0354_degree_balanced_seed9_seed7,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed7,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed7,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0007_seed7.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4375,0.475,0.018749999999999992,0.41666666666666663,0.5041666666666667,0.042542870534712784,-0.09683947285003203,-0.07311001693926052,0.0273299314843801,3.070101029903019,3.5832710096434033,0.3240202105126096,0.04901403361335446,0.06676118332067442,0.008964462051932118,8,0.019108346697859727,0.04810328601655084,0.012133343965050645,0.1487834046059703,0.21228706897814786,0.0301982781068345,5.0,5.0,0.0,48.0,55.0,4.387482193696061,26.0,30.0,3.0,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4197916666666667,0.4875,0.03582788233733299,0.4140625,0.4708333333333333,0.03529006170101026,-0.08436751508516757,-0.038390029141168576,0.04880646055861865,3.1386159194402174,3.6812790064764402,0.4955877514655104,0.037694198068821835,0.055551607130472906,0.008555035145285226,8,0.023822217810847913,0.03559809910621393,0.008448763139722044,0.15172586062309662,0.18294776536604268,0.0186226728449147,5.0,5.0,0.0,49.0,54.0,2.5495097567963922,26.875,29.0,1.5360257159305635,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,degree_rewire_exact_degree,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,,full,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.1967204135217617,0.19294445897590543,1.0,1.0,2.1967204135217617,0.19294445897590543,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.8833333333333333,0.3089403847236692,-0.013974273962525124,1.0,0.30012228787256734,0.30012228787256734,8,logsumexp,1.0,0.0,0.4192708333333333,0.44166666666666665,0.014574029770451273,0.4015625,0.44583333333333336,0.03032931950320973,-0.10188988495377403,-0.08203564694222037,0.0250673728389441,3.0163961819687297,3.6319415723753057,0.37829180332990964,0.046182725834340514,0.05809861224308615,0.007078263629752651,8,0.021084004808442466,0.030101474021596377,0.0064505088073688365,0.1514932920089267,0.18483628572940655,0.019939824205644836,5.0,5.0,0.0,48.625,53.0,2.496873044429772,26.625,29.0,1.5761900266148114,0,1.0,1.0,0.0,logsumexp,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,200,0.03,1.0,1.0,0.0,logsumexp,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
