idx,selected,topology_id,topology_name,family,seed,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log
0,1,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,degree_rewire_exact_degree,0,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.8709247025015543,0.45802180213882204,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
1,1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,degree_rewire_exact_degree,1,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.68664489077648,3.2738410663895916,0.5150575920993192,0.0,0.13749999999999996,0.0,1.4,0.2041241452319315,0.2041241452319315,70,1.845098040014257
2,1,degrewire0002_baseg0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_exact_degree,2,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0002_seed2.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.141026587055626,4.2574706069826,0.6291516583329761,0.0,0.12121212121212155,0.0,1.4,0.2041241452319315,0.2041241452319315,55,1.7403626894942439
3,1,degrewire0003_baseg0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_exact_degree,3,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0003_seed3.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.926156311337124,2.870924702501556,0.45802180213882226,0.0,0.1372549019607845,0.0,1.4,0.2041241452319315,0.2041241452319315,85,1.9294189257142929
4,1,degrewire0004_baseg0354_degree_balanced_seed9_seed4,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed4,degree_rewire_exact_degree,4,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0004_seed4.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.643103571484449,3.774924366540237,0.576908254634537,0.0,0.16153846153846163,0.0,1.4,0.2041241452319315,0.2041241452319315,65,1.8129133566428555
5,1,degrewire0005_baseg0354_degree_balanced_seed9_seed5,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed5,degree_rewire_exact_degree,5,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0005_seed5.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.0684933323307897,0.4869251839226747,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
6,1,degrewire0006_baseg0354_degree_balanced_seed9_seed6,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed6,degree_rewire_exact_degree,6,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0006_seed6.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.68664489077648,3.2738410663895925,0.5150575920993193,0.0,0.13749999999999996,0.0,1.4,0.2041241452319315,0.2041241452319315,70,1.845098040014257
7,1,degrewire0007_baseg0354_degree_balanced_seed9_seed7,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed7,degree_rewire_exact_degree,7,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0007_seed7.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.814573931925766,3.068493332330789,0.4869251839226746,0.0,0.14500000000000002,0.0,1.4,0.2041241452319315,0.2041241452319315,75,1.8750612633917
8,1,degrewire0008_baseg0354_degree_balanced_seed9_seed8,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed8,degree_rewire_exact_degree,8,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0008_seed8.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.885500678468043,3.0742822611601257,0.48774373916784497,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
9,1,degrewire0009_baseg0354_degree_balanced_seed9_seed9,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed9,degree_rewire_exact_degree,9,5,12,8,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0009_seed9.json,88,22,22.0,22,0.0,22,22.0,22,0.0,11,8.902336600579169,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,0.2041241452319315,0.2041241452319315,80,1.9030899869919435
