run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed1,degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,full,,1,1,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.141026587055626,4.2574706069826,65.12821269644506,4.2574706069826,0.0,0.0,0.005142332415059688,0.12121212121212155,0.0,1.4,96.3,95.3,95.0,95.5,87.0,5.5,96.8,94.4,15.362259864807129
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed2,degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,full,,2,2,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.141026587055626,4.2574706069826,65.12821269644506,4.2574706069826,0.0,0.0,0.005142332415059688,0.12121212121212155,0.0,1.4,72.62,71.0,70.0,78.5,69.55,1.0,70.4,71.2,15.502106428146362
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed3,degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,full,,3,3,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.141026587055626,4.2574706069826,65.12821269644506,4.2574706069826,0.0,0.0,0.005142332415059688,0.12121212121212155,0.0,1.4,90.36,89.5,88.5,88.5,80.85,4.0,90.6,87.4,15.3322114944458
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed4,degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed4,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,full,,4,4,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.141026587055626,4.2574706069826,65.12821269644506,4.2574706069826,0.0,0.0,0.005142332415059688,0.12121212121212155,0.0,1.4,77.96,77.3,81.0,81.0,68.9,2.5,79.2,77.2,16.0184805393219
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed5,degrewire0002_baseg0354_degree_balanced_seed9_seed2_trainseed5,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed2,full,,5,5,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.141026587055626,4.2574706069826,65.12821269644506,4.2574706069826,0.0,0.0,0.005142332415059688,0.12121212121212155,0.0,1.4,93.52,92.0,94.5,94.5,86.45,2.5,92.8,91.4,15.852751731872559
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed1,degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,full,,1,1,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.926156311337124,2.870924702501556,71.40925049069702,2.870924702501556,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,70.12,70.2,72.5,75.0,66.85,4.5,69.8,70.2,14.56929063796997
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed2,degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed2,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,full,,2,2,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.926156311337124,2.870924702501556,71.40925049069702,2.870924702501556,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,97.9,97.9,98.0,98.0,89.65,2.0,97.6,97.6,14.616884469985962
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed3,degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,full,,3,3,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.926156311337124,2.870924702501556,71.40925049069702,2.870924702501556,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,94.24,93.9,92.5,95.5,86.65,4.5,94.8,93.4,14.633634805679321
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed4,degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed4,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,full,,4,4,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.926156311337124,2.870924702501556,71.40925049069702,2.870924702501556,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,98.04,98.5,98.5,98.5,92.65,2.5,97.4,97.6,15.11652421951294
ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/training_sweep/degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed5,degrewire0003_baseg0354_degree_balanced_seed9_seed3_trainseed5,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed3,full,,5,5,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.926156311337124,2.870924702501556,71.40925049069702,2.870924702501556,0.0,0.0,0.006466743560169165,0.1372549019607845,0.0,1.4,88.26,87.0,93.0,93.0,78.3,2.5,84.6,88.0,15.961535692214966
