topology_index,topology_id,topology_name,train_seed,completed,output,results_path,command
0,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,degrewire0000_baseg0354_degree_balanced_seed9_seed0,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed0,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0000_baseg0354_degree_balanced_seed9_seed0_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0000_base.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,degrewire0001_baseg0354_degree_balanced_seed9_seed1,degree_rewire_n5_m12_base_g0354_degree_balanced_seed9_seed1,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/exact_degree_exact_drel_exact_multiplicity_normal_fan_training/degrewire0001_baseg0354_degree_balanced_seed9_seed1_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/degree_rewire_normal_fan_n5_m12_N3_D2/topologies/degrewire0001_seed1.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
