topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,rank_mass_min,rank_mass_mean,rank_mass_max,rank_mass_gini,rank_dim_mass_min,rank_dim_mass_mean,rank_dim_mass_max,rank_dim_mass_gini,rank_nonzero_fraction,rank_weight_entropy,rank_weight_effective_entries,rooted_polytope_n_roots,rooted_polytope_common_rank_total,rooted_polytope_common_rank_mean,rooted_polytope_common_rank_max,rooted_polytope_supported_branch_dim_fraction,rooted_polytope_branch_root_support_min,rooted_polytope_branch_root_support_mean,rooted_polytope_branch_root_support_max,rooted_polytope_branch_root_support_gini,rooted_polytope_branch_best_rank_min,rooted_polytope_branch_best_rank_mean,rooted_polytope_branch_best_rank_max,rooted_polytope_branch_best_rank_gini,rooted_polytope_root_rank_mass_min,rooted_polytope_root_rank_mass_mean,rooted_polytope_root_rank_mass_max,rooted_polytope_root_rank_mass_gini,rooted_polytope_root_rank_mass_effective,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,rank_weighted_oracle_test_accuracy,rank_weighted_oracle_test_margin_mean,rank_weighted_oracle_test_margin_p10,rank_weighted_oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,rank_weighted_linear_test_accuracy,rank_weighted_linear_test_margin_mean,rank_weighted_linear_test_margin_p10,rank_weighted_linear_test_margin_finite_fraction,linear_weight_norm,weighted_linear_weight_norm,tropical_feature_trials,tropical_feature_mode,tropical_projection_radius,tropical_edge_bias_scale,tropical_linear_train_accuracy_mean,tropical_linear_train_accuracy_max,tropical_linear_train_accuracy_std,tropical_linear_test_accuracy_mean,tropical_linear_test_accuracy_max,tropical_linear_test_accuracy_std,tropical_linear_test_margin_p10_mean,tropical_linear_test_margin_p10_max,tropical_linear_test_margin_p10_std,tropical_root_feature_effective_rank_mean,tropical_root_feature_effective_rank_max,tropical_root_feature_effective_rank_std,tropical_root_feature_variance_mean,tropical_root_feature_variance_max,tropical_root_feature_variance_std,normal_fan_trials,normal_fan_branch_root_nmi_mean,normal_fan_branch_root_nmi_max,normal_fan_branch_root_nmi_std,normal_fan_branch_tree_nmi_mean,normal_fan_branch_tree_nmi_max,normal_fan_branch_tree_nmi_std,normal_fan_active_root_count_mean,normal_fan_active_root_count_max,normal_fan_active_root_count_std,normal_fan_active_tree_count_mean,normal_fan_active_tree_count_max,normal_fan_active_tree_count_std,normal_fan_branch_active_tree_count_min_mean,normal_fan_branch_active_tree_count_min_max,normal_fan_branch_active_tree_count_min_std,gamma_star_proxy_trials,gamma_star_projection_radius,gamma_star_decoder_radius,gamma_star_edge_bias_radius,gamma_star_mode,gamma_star_selected_trial,gamma_star_selected_train_branch_margin_p10_min,gamma_star_selected_train_branch_margin_mean_min,gamma_star_selected_test_branch_margin_p10_min,gamma_star_selected_test_branch_margin_mean_min,gamma_star_selected_test_sample_margin_min,gamma_star_selected_test_accuracy,gamma_star_selected_projection_norm,gamma_star_selected_decoder_norm,gamma_star_train_branch_margin_p10_min_mean,gamma_star_train_branch_margin_p10_min_max,gamma_star_train_branch_margin_p10_min_std,gamma_star_test_branch_margin_p10_min_mean,gamma_star_test_branch_margin_p10_min_max,gamma_star_test_branch_margin_p10_min_std,gamma_star_test_branch_margin_mean_min_mean,gamma_star_test_branch_margin_mean_min_max,gamma_star_test_branch_margin_mean_min_std,gamma_star_test_accuracy_mean,gamma_star_test_accuracy_max,gamma_star_test_accuracy_std,gamma_star_projection_norm_mean,gamma_star_projection_norm_max,gamma_star_projection_norm_std,gamma_star_decoder_norm_mean,gamma_star_decoder_norm_max,gamma_star_decoder_norm_std
g0040_cycle_chords_seed41,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed41,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0040_cycle_chords_seed41.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,114.0,3.8,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,22.8,42.0,0.3789473684210527,3.657908838077673,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.4275,0.46,0.03107450723664014,0.37625000000000003,0.3925,0.013050383136138198,-0.1704319976713376,-0.14401260858746073,0.017938678913570157,2.3661956467702248,2.5881429586853977,0.18317803742951555,0.2217978738471456,0.27944065692235803,0.041426826448201864,4,0.018792805648155643,0.03242076424854847,0.008905675762192708,0.1200709376442334,0.15263146049321966,0.021785403431281568,4.25,5.0,0.4330127018922193,59.0,61.0,1.5811388300841898,37.0,40.0,3.0,16,1.0,1.0,0.0,max,2,-0.08913541534440174,-0.017959168671003077,-0.08718877892186583,-0.018010560482207186,-0.33015639169655686,0.44,1.0,1.0,-0.1709622043958163,-0.08913541534440174,0.04720607634025231,-0.18772823663431787,-0.08718877892186583,0.05035363067394874,-0.053551446815050543,-0.018010560482207186,0.016224271615595275,0.39109375,0.475,0.03653945587905627,1.0,1.0000000000000002,8.777083671441753e-17,0.9806451183520248,1.0,0.05391280493956535
g0045_cycle_chords_seed46,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed46,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0045_cycle_chords_seed46.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,156.0,5.2,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,31.2,36.0,0.030769230769230882,4.985752875393529,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.44375,0.4575,0.010383279828647602,0.393125,0.43,0.029652940410691147,-0.18185669911862345,-0.0969594800503677,0.07197046982289708,3.3333028816220143,3.5090998494824186,0.12070721519598723,0.06910711897781047,0.08350327569955636,0.011496617291956083,4,0.010196048680442644,0.01194136077099485,0.0017226229621395185,0.10368224824264702,0.12822031423572608,0.018549471512748623,5.0,5.0,0.0,45.5,48.0,2.5,29.25,34.0,2.947456530637899,16,1.0,1.0,0.0,max,2,-0.09039049960767268,-0.013436170490086942,-0.08828123493592321,-0.015311469835497185,-0.3764278707097837,0.445,1.0,1.0000000000000002,-0.1671685069705835,-0.09039049960767268,0.055097793899134676,-0.17955867870143963,-0.08828123493592321,0.06615891068554537,-0.052554395316328245,-0.015311469835497185,0.028208033570426144,0.39249999999999996,0.46,0.04054318685056714,1.0,1.0000000000000002,8.777083671441753e-17,0.9664884445774024,1.0000000000000002,0.12232461591281808
g0082_cycle_chords_seed83,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed83,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0082_cycle_chords_seed83.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,120.0,4.0,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,12.0,24.0,36.0,0.19999999999999996,4.6855322715632255,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.445625,0.485,0.028304979685560634,0.429375,0.475,0.04063461424696929,-0.18780093829621472,-0.12604054439617166,0.055460381941043475,3.3418194573526296,3.8010591224816555,0.28156983298291505,0.08745607073983465,0.1090180694877457,0.012722870573548596,4,0.023646574508248905,0.0372911002100095,0.008039689535148678,0.09081216158952446,0.11043060151733747,0.013780423898733064,5.0,5.0,0.0,33.5,37.0,2.29128784747792,25.0,26.0,0.7071067811865476,16,1.0,1.0,0.0,max,3,-0.07132488016179575,-0.021377098588613228,-0.11235997375382811,-0.0317948059355366,-0.2562144814041152,0.3725,1.0,1.0,-0.16695825465320913,-0.07132488016179575,0.05701298182635431,-0.18472369445961018,-0.0930145058408377,0.05475833627899076,-0.052867930826083626,-0.02917664390095617,0.01692168714052373,0.38359374999999996,0.425,0.022149505320379053,1.0,1.0000000000000002,8.777083671441753e-17,1.0,1.0000000000000002,8.326672684688674e-17
g0085_cycle_chords_seed86,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed86,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0085_cycle_chords_seed86.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,126.0,4.2,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,25.2,42.0,0.32380952380952377,3.833623075746253,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.463125,0.5075,0.030586710758105373,0.40625,0.455,0.04392820847701394,-0.12218904132568945,-0.06753654582324391,0.035892473247615915,2.9744567089250813,3.3137549838298335,0.26552350363560556,0.17391448139043442,0.2542753593393438,0.05383724373302331,4,0.030704333205904502,0.05210646207692815,0.013260607677571633,0.10627365772309859,0.12966952891296132,0.01622270701291769,4.75,5.0,0.4330127018922193,42.75,44.0,1.0897247358851685,28.75,30.0,0.82915619758885,16,1.0,1.0,0.0,max,4,-0.08213009138475531,-0.022376570240432932,-0.09825904789333939,-0.01814752437244627,-0.20959305812230133,0.4025,1.0,1.0,-0.16575254924122068,-0.08213009138475531,0.06011447280246584,-0.1820389970346082,-0.09566630914941605,0.06586621262224882,-0.05291916448277343,-0.01814752437244627,0.01916849727889421,0.3621875,0.4525,0.03801598142557943,1.0,1.0000000000000002,8.777083671441753e-17,0.9799437107929366,1.0000000000000002,0.07767767408567582
g0097_random_sc_seed2,random_sc,random_sc,random_sc_n5_m12_seed2,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0097_random_sc_seed2.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,108.0,3.6,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,21.6,42.0,0.4222222222222223,3.4154537440980675,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.43875000000000003,0.465,0.017184658856084414,0.37750000000000006,0.4425,0.0472691760029726,-0.2000747383012465,-0.1502160804527652,0.04859459706640397,2.6608249005646583,2.892113429375042,0.2046834122545779,0.21140499718953623,0.24093516862304198,0.021439840991810614,4,0.024507175513278877,0.03734757261306375,0.011255036408467145,0.12085115685817961,0.14545387415770236,0.0265754748624731,4.75,5.0,0.4330127018922193,53.5,56.0,3.774917217635375,35.75,38.0,2.277608394786075,16,1.0,1.0,0.0,max,12,-0.10364149738812975,-0.028206695383051362,-0.11255412592464577,-0.035994839663004076,-0.482268905211251,0.435,0.9999999999999999,0.9999999999999999,-0.17753721120595806,-0.10364149738812975,0.0536233613744748,-0.19722570183547825,-0.11255412592464577,0.05256396571064952,-0.06134151916550974,-0.035994839663004076,0.020528673885459817,0.368125,0.435,0.029335079256753337,1.0,1.0000000000000002,8.777083671441753e-17,0.9874444501766592,1.0000000000000002,0.03404461852669703
g0187_random_sc_seed92,random_sc,random_sc,random_sc_n5_m12_seed92,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0187_random_sc_seed92.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,30.0,33.6,42.0,0.0714285714285714,4.950950773339135,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.45687500000000003,0.475,0.014617519454408121,0.399375,0.4275,0.02712096744218392,-0.1310979530446726,-0.08702530084057196,0.03898129362248203,3.409984730640111,3.6019440847839177,0.1792810669584511,0.07608281572689642,0.08602053083494007,0.008045200700913439,4,0.016487222203828065,0.04025127195622766,0.013810426316294897,0.12703435897948673,0.14569191833071807,0.013731585028297171,5.0,5.0,0.0,59.0,64.0,3.24037034920393,34.75,39.0,2.680951323690902,16,1.0,1.0,0.0,max,4,-0.07996536799281045,-0.023336404292303194,-0.08918052162881729,-0.030015450012042887,-0.20652920392613675,0.425,1.0,0.9999999999999999,-0.14730281727443717,-0.07996536799281045,0.046939637634728075,-0.17616005881716934,-0.08775640390453199,0.0713290426039061,-0.043498980425096916,-0.007565277262444597,0.024323083528627103,0.4121875,0.4875,0.0399499198215716,1.0,1.0000000000000002,8.777083671441753e-17,0.9999999999999999,1.0,1.0007415106216802e-16
g0267_hub_spoke_seed76,hub_spoke,hub_spoke,hub_spoke_n5_m12_seed76,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0267_hub_spoke_seed76.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,132.0,4.4,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,12.0,26.4,36.0,0.18181818181818188,4.695472215803778,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.42312500000000003,0.4475,0.01574950396044269,0.394375,0.4375,0.030992690670543603,-0.17525398647336007,-0.11934064405878522,0.0415732448188793,3.051458652413376,3.2715275026490467,0.2596616397972056,0.09513571219820957,0.1166909044176132,0.016517938805881333,4,0.022603370084765526,0.04974736654365791,0.017030659069352073,0.09930862833576752,0.1325729651052901,0.022666814888000163,5.0,5.0,0.0,31.5,33.0,1.6583123951777,22.5,25.0,2.0615528128088303,16,1.0,1.0,0.0,max,0,-0.11063576194800621,-0.04070295460176231,-0.10657238652914716,-0.03795476723125864,-0.26353192344988696,0.3975,0.9999999999999999,1.0,-0.1928894233101693,-0.11063576194800621,0.06330206951337461,-0.2219964229354982,-0.10657238652914716,0.06206791176505342,-0.05938246537277141,-0.03444029699932138,0.02224058210317183,0.37875000000000003,0.4625,0.041551925346486655,1.0,1.0000000000000002,8.777083671441753e-17,1.0,1.0000000000000002,1.0749688212373146e-16
g0289_two_module_seed2,two_module,two_module,two_module_n5_m12_seed2,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0289_two_module_seed2.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,126.0,4.2,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,12.0,25.2,42.0,0.24761904761904763,4.499882124688024,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.41625,0.45,0.025890393971509974,0.39375,0.41,0.0184136498283203,-0.20768380825063426,-0.13774602853301512,0.0566944347553085,2.7048781155913817,2.97348632156365,0.20750841547117044,0.13257112151245334,0.16348517419740602,0.022358787553971003,4,0.018095713734074148,0.033042032306330925,0.010367436764242594,0.09638368910428366,0.12920996068307963,0.0209928729505828,5.0,5.0,0.0,37.75,41.0,2.165063509461097,27.0,33.0,3.4641016151377544,16,1.0,1.0,0.0,max,3,-0.08977097493641203,-0.03715338782817649,-0.0995799950766516,-0.03993979334115005,-0.2845240616343334,0.42,1.0,0.9999999999999999,-0.16465635856258326,-0.08977097493641203,0.045582923381109766,-0.19071109036304956,-0.0995799950766516,0.0515900135891034,-0.05154360395609287,-0.02086135368698805,0.016156256551899065,0.38890625,0.4575,0.03775919538254886,1.0,1.0000000000000002,8.777083671441753e-17,0.9996679601594693,1.0,0.00128598477265243
g0295_two_module_seed9,two_module,two_module,two_module_n5_m12_seed9,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0295_two_module_seed9.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,138.0,4.6,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,12.0,27.6,42.0,0.20869565217391317,4.6338227144697735,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.43875,0.455,0.010383279828647604,0.38,0.4025,0.016007810593582136,-0.16810406969199482,-0.1371532720082435,0.029431656802196296,3.032651103416698,3.23881886245437,0.25759964113376005,0.11177388640231643,0.14394511851151948,0.023901234841783976,4,0.016115524631388184,0.027776370115204292,0.00955896793242653,0.08051809338237743,0.09866385052331614,0.017856823104410967,5.0,5.0,0.0,37.0,41.0,2.5495097567963922,26.75,30.0,2.384848003542364,16,1.0,1.0,0.0,max,3,-0.08731902325017463,-0.015685428774153957,-0.10016343714634912,-0.014371365793043734,-0.3180921230311502,0.4525,1.0,0.9999999999999999,-0.177121242669664,-0.08731902325017463,0.054021461626054305,-0.2011792377743974,-0.10016343714634912,0.06634030662991364,-0.05253234312650252,-0.014371365793043734,0.0210408175983472,0.3896875,0.4525,0.03208722243744385,1.0,1.0000000000000002,8.777083671441753e-17,0.9953476966326471,1.0,0.018018293463262426
g0354_degree_balanced_seed9,degree_balanced,degree_balanced,degree_balanced_n5_m12_seed9,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0354_degree_balanced_seed9.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.2666177194014963,0.24895220772545837,1.0,1.0,2.2666177194014963,0.24895220772545837,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.8825,0.3215012154791259,-0.008969667436744568,1.0,0.2937069494026062,0.2937069494026062,4,max,1.0,0.0,0.43187499999999995,0.47,0.028249723449973795,0.413125,0.45,0.032469938019651354,-0.14571449673669398,-0.09036519079802065,0.04439622748045576,3.6926952504314214,3.856161882818345,0.166624323995182,0.050340044387988336,0.05961073137883619,0.005704734638649152,4,0.016015145310499364,0.02088093971299445,0.003619266709544107,0.12935081953079605,0.15327060417549498,0.01992478094894095,5.0,5.0,0.0,60.75,65.0,3.191786333700926,35.5,37.0,2.0615528128088303,16,1.0,1.0,0.0,max,0,-0.08037845291154681,-0.021187600803991485,-0.08970890836989309,-0.02573302515005669,-0.22648582489372338,0.4575,0.9999999999999999,0.9999999999999999,-0.17052363543909427,-0.08037845291154681,0.06527645425144944,-0.19725152998299716,-0.08970890836989309,0.07690957302047587,-0.05317132854622967,-0.0251482084305693,0.021165127717922,0.40921875,0.4625,0.027552772518160493,1.0,1.0000000000000002,8.777083671441753e-17,0.9952855554410394,1.0000000000000002,0.018258965263472583
