topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,linear_weight_norm
hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,entry_random,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0000_entry_random_c200_seed1.json,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21,hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21,entry_random,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21,hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0020_entry_random_c200_seed21.json,6,20,4,4,20,200,17,19.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0044_entry_random_c200_seed45,hub_spoke_n6_m20_seed63__mask0044_entry_random_c200_seed45,entry_random,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0044_entry_random_c200_seed45,hub_spoke_n6_m20_seed63__mask0044_entry_random_c200_seed45,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0044_entry_random_c200_seed45.json,6,20,4,4,20,200,14,16.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0080_edge_block_c200_seed1.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0088_edge_block_c200_seed9,hub_spoke_n6_m20_seed63__mask0088_edge_block_c200_seed9,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0088_edge_block_c200_seed9,hub_spoke_n6_m20_seed63__mask0088_edge_block_c200_seed9,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0088_edge_block_c200_seed9.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0091_edge_block_c200_seed12,hub_spoke_n6_m20_seed63__mask0091_edge_block_c200_seed12,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0091_edge_block_c200_seed12,hub_spoke_n6_m20_seed63__mask0091_edge_block_c200_seed12,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0091_edge_block_c200_seed12.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0097_edge_block_c200_seed18,hub_spoke_n6_m20_seed63__mask0097_edge_block_c200_seed18,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0097_edge_block_c200_seed18,hub_spoke_n6_m20_seed63__mask0097_edge_block_c200_seed18,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0097_edge_block_c200_seed18.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0118_edge_block_c200_seed39,hub_spoke_n6_m20_seed63__mask0118_edge_block_c200_seed39,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0118_edge_block_c200_seed39,hub_spoke_n6_m20_seed63__mask0118_edge_block_c200_seed39,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0118_edge_block_c200_seed39.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0128_edge_block_c200_seed49,hub_spoke_n6_m20_seed63__mask0128_edge_block_c200_seed49,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0128_edge_block_c200_seed49,hub_spoke_n6_m20_seed63__mask0128_edge_block_c200_seed49,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0128_edge_block_c200_seed49.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
hub_spoke_n6_m20_seed63__mask0150_edge_block_c200_seed71,hub_spoke_n6_m20_seed63__mask0150_edge_block_c200_seed71,edge_block,hub_spoke_n6_m20_seed63,hub_spoke_n6_m20_seed63__mask0150_edge_block_c200_seed71,hub_spoke_n6_m20_seed63__mask0150_edge_block_c200_seed71,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0222_hub_spoke_seed63.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_hub_spoke_seed63_c200/masks/hub_spoke_n6_m20_seed63__mask0150_edge_block_c200_seed71.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
