idx,selected,selection_arms,topology_id,topology_name,base_id,base_family,base_seed,rewire_seed,n_nodes,n_edges,p,edge_json,cluster_edge_json,d_rel,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_sequence,out_degree_sequence,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log,normal_fan_branch_root_nmi_mean,normal_fan_branch_tree_nmi_mean,normal_fan_active_tree_count_mean,normal_fan_branch_active_tree_count_min_mean,normal_fan_score,normal_fan_score_within_base_z,tree_count_within_base_z,cross_contrast_effective_rank_mean,cross_all_supported_effective_rank,n_seeds_completed,mean_novel_icl,best_seed_novel_icl,seed_std_novel_icl,mean_train_acc,mean_val_acc,mean_in_dist_acc,train_minus_novel_gap,val_minus_novel_gap,novel_error_rate,n_context,z_dim,n_trees_enumerated,tree_count_exact_total,tree_count_enumerated_total,tree_count_exact_by_root,tree_count_enumerated_by_root,tree_count_balance_gini,cross_overlap_norm_min,cross_overlap_norm_mean,cross_overlap_norm_max,cross_overlap_norm_gini,cross_separation_norm_min,cross_separation_norm_mean,cross_separation_norm_max,cross_separation_norm_gini,cross_imbalance_norm_min,cross_imbalance_norm_mean,cross_imbalance_norm_max,cross_imbalance_norm_gini,cross_root_pair_overlap_norm_mean_min,cross_root_pair_overlap_norm_mean_mean,cross_root_pair_overlap_norm_mean_max,cross_root_pair_overlap_norm_mean_gini,cross_root_pair_overlap_norm_min_min,cross_root_pair_overlap_norm_min_mean,cross_root_pair_overlap_norm_min_max,cross_root_pair_overlap_norm_min_gini,cross_best_root_pair_overlap_norm_min,cross_best_root_pair_overlap_norm_mean,cross_topk_root_pair_overlap_norm_mean,cross_usable_root_pair_count_min,cross_usable_root_pair_count_mean,cross_root_pair_overlap_entropy_mean,cross_pair_count_sampled,cross_pair_count_possible,cross_pairs_truncated,cross_pair_count_log,cross_contrast_rank_mean,cross_contrast_rank_min,cross_contrast_condition_log_mean,cross_all_supported_rank,cross_all_supported_condition_number_log,cross_edge_participation_gini,cross_bottleneck_edge_fraction_095,decoder_root_pair_count,decoder_root_pair_overlap_mean,decoder_root_pair_overlap_min,decoder_root_pair_overlap_max,decoder_root_pair_overlap_gini,decoder_root_pair_overlap_entropy,decoder_root_pair_min_overlap_mean,decoder_root_pair_min_overlap_min,decoder_topk_assignment_score,decoder_best_assignment_score,decoder_usable_root_pair_fraction,decoder_root_pair_tree_product_mean,decoder_root_pair_tree_product_entropy,decoder_root_pair_sample_count_mean,gamma_exact_accuracy,gamma_exact_failure_max,gamma_exact_lcvar,gamma_exact_tree_drive_range_mean,gamma_hard_root_accuracy,gamma_hard_root_failure_max,gamma_hard_root_lcvar,gamma_hard_root_tree_drive_range_mean,gamma_tropical_accuracy,gamma_tropical_failure_max,gamma_tropical_lcvar,gamma_tropical_tree_drive_range_mean
24.0,1.0,arm_B_low_tree_count,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,degree_balanced,9.0,1302872.0,5.0,12.0,8.0,topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json,88.0,11.0,8.643103571484446,3.774924366540239,0.5769082546345372,0.0,0.16153846153846163,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,65.0,1.8129133566428555,0.016068552837091455,0.11312107399256238,53.75,37.375,0.741350561401476,-0.0775803357616626,-0.8893947957397399,8.763063669735347,8.763063669735347,5,80.64000000000001,94.4,11.437062559940818,81.536,80.47999999999999,80.72,0.8959999999999866,-0.160000000000025,19.359999999999985,3,2,65,65,65,"[13, 13, 13, 13, 13]","[13, 13, 13, 13, 13]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,3380,3380,False,8.125926802707886,11.0,11.0,1.5458311321210754,11,1.5458311321210754,0.08267831149927218,0.16666666666666666,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,169.0,1.0,169.0,0.35555555555555557,1.0,-6.681504307545596,1.820692509355795,0.29444444444444445,0.8095238095238095,-1.8506793600501183,1.1740250450250573,0.3277777777777778,1.0,-5.6900095166956515,1.820692509355795
44.0,1.0,arm_A_high_normal_fan,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,degree_balanced,9.0,6871406.0,5.0,12.0,8.0,topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json,88.0,11.0,8.902336600579169,2.926681858905407,0.46637551559019685,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80.0,1.9030899869919435,0.017207030603150493,0.12206058721190732,63.875,42.125,4.685491951404499,1.5901992220246266,0.6119164889003583,9.079538102084719,9.079538102084719,5,95.28,98.2,2.62480475464367,95.848,95.36000000000001,94.56000000000002,0.5679999999999978,0.0800000000000125,4.719999999999999,3,2,80,80,80,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,5120,5120,False,8.54110501146255,11.0,11.0,1.3486256280932667,11,1.348625628093267,0.07194795254496755,0.3333333333333333,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,256.0,1.0,256.0,0.38333333333333336,0.8813559322033898,-2.9365486887802286,1.4081678469792693,0.3388888888888889,0.847457627118644,-2.142424470221973,1.2519609244264123,0.37777777777777777,0.847457627118644,-3.0090357730971333,1.4081678469792693
54.0,1.0,arm_A_low_normal_fan;arm_B_high_tree_count,mb0054_base00_degree_balanced_seed9_rw1374497,multibase_base00_degree_balanced_seed9_rewire_seed1374497,base00_degree_balanced_seed9,degree_balanced,9.0,1374497.0,5.0,12.0,8.0,topologies/mb0054_base00_degree_balanced_seed9_rw1374497.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0054_base00_degree_balanced_seed9_rw1374497.json,88.0,11.0,8.902336600579169,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80.0,1.9030899869919435,0.012334280158827125,0.09186021874414435,57.5,39.625,-0.3967788107611052,-0.5588381592818894,0.6119164889003583,9.079538102084724,9.079538102084724,5,84.72,95.4,12.59307746343204,85.752,84.55999999999999,86.4,1.0319999999999965,-0.1600000000000108,15.280000000000001,3,2,80,80,80,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,5120,5120,False,8.54110501146255,11.0,11.0,1.3486256280932674,11,1.3486256280932674,0.07194795254496755,0.3333333333333333,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,256.0,1.0,256.0,0.3111111111111111,1.0,-2.2208102705965955,1.688256773303095,0.3111111111111111,0.7536231884057971,-2.0977538795528443,1.3786803902345541,0.2777777777777778,0.8840579710144928,-2.2179727391445225,1.432160437702881
57.0,1.0,arm_B_low_tree_count,mb0057_base00_degree_balanced_seed9_rw9741299,multibase_base00_degree_balanced_seed9_rewire_seed9741299,base00_degree_balanced_seed9,degree_balanced,9.0,9741299.0,5.0,12.0,8.0,topologies/mb0057_base00_degree_balanced_seed9_rw9741299.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0057_base00_degree_balanced_seed9_rw9741299.json,88.0,11.0,8.643103571484446,3.77492436654024,0.5769082546345373,0.0,0.16153846153846163,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,65.0,1.8129133566428555,0.026858528803901598,0.10808504145783067,52.625,35.625,-0.5024625441079995,-0.6035265090741245,-0.8893947957397399,8.763063669735343,8.763063669735343,5,88.03999999999999,95.2,6.028465808147209,89.208,88.14000000000001,89.4,1.1680000000000064,0.10000000000002274,11.960000000000008,3,2,65,65,65,"[13, 13, 13, 13, 13]","[13, 13, 13, 13, 13]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,3380,3380,False,8.125926802707886,11.0,11.0,1.5458311321210747,11,1.5458311321210747,0.08267831149927218,0.16666666666666666,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,169.0,1.0,169.0,0.3277777777777778,1.0,-3.403200172043705,1.3931907826681351,0.2611111111111111,0.7857142857142857,-1.9906419729256348,2.2745437400201665,0.4111111111111111,0.9285714285714286,-3.122514345395017,1.5273091870730886
70.0,1.0,arm_B_high_tree_count,mb0070_base00_degree_balanced_seed9_rw7728494,multibase_base00_degree_balanced_seed9_rewire_seed7728494,base00_degree_balanced_seed9,degree_balanced,9.0,7728494.0,5.0,12.0,8.0,topologies/mb0070_base00_degree_balanced_seed9_rw7728494.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0070_base00_degree_balanced_seed9_rw7728494.json,88.0,11.0,8.902336600579165,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80.0,1.9030899869919435,0.01690883694786246,0.09614694749828166,60.25,40.25,0.6888846348117833,-0.09976554445331617,0.6119164889003583,9.079538102084724,9.079538102084724,5,88.44000000000001,97.2,11.46989101953458,90.324,89.3,88.96,1.8839999999999861,0.8599999999999852,11.559999999999988,3,2,80,80,80,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,5120,5120,False,8.54110501146255,11.0,11.0,1.3486256280932676,11,1.3486256280932676,0.07194795254496755,0.3333333333333333,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,256.0,1.0,256.0,0.37777777777777777,0.8939393939393939,-2.8035452983099276,1.6428621920582043,0.3055555555555556,0.7291666666666666,-1.9815851224142578,1.4421376861236905,0.37777777777777777,0.803030303030303,-2.510228550692147,1.6428621920582043
80.0,1.0,arm_B_low_tree_count,mb0080_base01_degree_balanced_seed60_rw6405499,multibase_base01_degree_balanced_seed60_rewire_seed6405499,base01_degree_balanced_seed60,degree_balanced,60.0,6405499.0,5.0,12.0,8.0,topologies/mb0080_base01_degree_balanced_seed60_rw6405499.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0080_base01_degree_balanced_seed60_rw6405499.json,88.0,11.0,8.37018811205242,4.226698292783317,0.6260012484309156,0.20625000000000004,0.10091145833333348,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,64.0,1.806179973983887,0.021552697445722458,0.10744855330234646,52.875,36.375,-0.3171635442594834,-0.9926337387159299,-1.7485707912682338,8.465190945476435,8.465190945476435,5,93.56000000000002,96.4,3.2059943855222226,95.076,93.98,94.44,1.515999999999977,0.4199999999999875,6.4399999999999835,3,2,64,64,64,"[17, 19, 8, 7, 13]","[17, 19, 8, 7, 13]",0.20625000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,3164,3164,False,8.059908334578276,11.0,11.0,1.605729709493298,11,1.605729709493298,0.07522073805750518,0.16666666666666666,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,158.2,0.9622776549226737,158.2,0.3388888888888889,1.0,-3.4979452779296296,1.398931088989347,0.4,0.8392857142857143,-1.9878961794457297,1.451750974655569,0.3277777777777778,0.9464285714285714,-2.9400558187832475,1.398931088989347
81.0,1.0,arm_A_low_normal_fan,mb0081_base01_degree_balanced_seed60_rw3246462,multibase_base01_degree_balanced_seed60_rewire_seed3246462,base01_degree_balanced_seed60,degree_balanced,60.0,3246462.0,5.0,12.0,8.0,topologies/mb0081_base01_degree_balanced_seed60_rw3246462.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0081_base01_degree_balanced_seed60_rw3246462.json,88.0,11.0,8.638494612577873,3.713980153464154,0.5698395786541568,0.17142857142857149,0.11130952380952408,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,70.0,1.845098040014257,0.016852592728729174,0.1025971343438212,53.875,35.125,-1.0660609236214766,-1.357741507099347,-0.9192481211282328,8.7649532588598,8.7649532588598,5,95.11999999999999,97.4,1.6761861471805577,96.16799999999999,95.49999999999999,95.8,1.0480000000000018,0.37999999999999545,4.88000000000001,3,2,70,70,70,"[20, 20, 10, 10, 10]","[20, 20, 10, 10, 10]",0.17142857142857149,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,3800,3800,False,8.24301946898925,11.0,11.0,1.4998559936114118,11,1.4998559936114118,0.07100177981184852,0.25,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,190.0,0.9707000770001367,190.0,0.3055555555555556,0.8870967741935484,-1.6978039890031058,2.173469110389394,0.3388888888888889,0.6949152542372882,-2.341648599611396,1.0701317511599966,0.3111111111111111,0.7796610169491526,-1.5296424780759086,2.173469110389394
87.0,1.0,arm_A_high_normal_fan,mb0087_base01_degree_balanced_seed60_rw55816,multibase_base01_degree_balanced_seed60_rewire_seed55816,base01_degree_balanced_seed60,degree_balanced,60.0,55816.0,5.0,12.0,8.0,topologies/mb0087_base01_degree_balanced_seed60_rw55816.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0087_base01_degree_balanced_seed60_rw55816.json,88.0,11.0,8.881779689077776,3.5951021750373733,0.5557112378132949,0.1523809523809525,0.12053571428571441,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,84.0,1.9242792860618816,0.01763424239234297,0.1215193484166478,64.875,43.0,5.033892978139332,1.6161513354833978,0.7680608614400471,9.068374276555069,9.068374276555069,5,93.6,97.8,4.586937976471884,94.11600000000001,92.66,94.08,0.5160000000000196,-0.9399999999999977,6.400000000000006,3,2,84,84,84,"[24, 20, 12, 12, 16]","[24, 20, 12, 12, 16]",0.1523809523809525,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,5536,5536,False,8.619208116822968,11.0,11.0,1.4634837869079964,11,1.4634837869079964,0.07596356916578673,0.25,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,276.8,0.9811691573746956,276.8,0.37777777777777777,0.9636363636363636,-2.052100287497321,2.0731999606103297,0.34444444444444444,0.8266666666666667,-2.1448495100396996,1.8129296492853835,0.35,0.8909090909090909,-1.855137175309654,2.0731999606103297
100.0,1.0,arm_A_high_normal_fan,mb0100_base01_degree_balanced_seed60_rw5708776,multibase_base01_degree_balanced_seed60_rewire_seed5708776,base01_degree_balanced_seed60,degree_balanced,60.0,5708776.0,5.0,12.0,8.0,topologies/mb0100_base01_degree_balanced_seed60_rw5708776.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0100_base01_degree_balanced_seed60_rw5708776.json,88.0,11.0,8.726496322445016,3.7046956692780286,0.5687525376644034,0.17222222222222228,0.11689814814814836,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,72.0,1.8573324964312685,0.0160670063095869,0.1214838228116477,59.5,39.375,3.145477344155742,0.6954975357712299,-0.658538556178376,8.854682394291865,8.854682394291865,5,89.72,97.2,11.840675656397314,90.38,89.78,89.68000000000002,0.6599999999999966,0.060000000000002274,10.280000000000001,3,2,72,72,72,"[21, 17, 10, 9, 15]","[21, 17, 10, 9, 15]",0.17222222222222228,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,4048,4048,False,8.30622521603216,11.0,11.0,1.4959699160767055,11,1.4959699160767055,0.07511632068718699,0.25,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,202.4,0.9751602754221484,202.4,0.2833333333333333,0.9864864864864865,-2.612005144607266,1.858214110971941,0.43333333333333335,0.6730769230769231,-2.1400075432150936,2.0511515382234347,0.25,0.8783783783783784,-2.520013849087767,1.858214110971941
122.0,1.0,arm_A_low_normal_fan;arm_B_high_tree_count,mb0122_base01_degree_balanced_seed60_rw5473513,multibase_base01_degree_balanced_seed60_rewire_seed5473513,base01_degree_balanced_seed60,degree_balanced,60.0,5473513.0,5.0,12.0,8.0,topologies/mb0122_base01_degree_balanced_seed60_rw5473513.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0122_base01_degree_balanced_seed60_rw5473513.json,88.0,11.0,8.930546718084331,3.528172138989255,0.5475497661393126,0.14634146341463428,0.128048780487805,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,82.0,1.9138138523837167,0.012905405553780211,0.09654138469548026,57.5,38.25,-0.2734139993770973,-0.9713046499248777,0.545048202091149,9.102647298864992,9.10264729886499,5,95.28,97.4,2.7614488950549134,95.776,95.19999999999999,94.92,0.4959999999999951,-0.0800000000000125,4.719999999999999,3,2,82,82,82,"[22, 20, 14, 10, 16]","[22, 20, 14, 10, 16]",0.14634146341463428,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,20.0,1.0,5288,5288,False,8.57338447106598,11.0,11.0,1.4581499479823343,11,1.4581499479823343,0.07653296449976965,0.25,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,264.4,0.981545969687665,264.4,0.40555555555555556,0.8571428571428571,-1.101177955661506,1.7966395345939319,0.3277777777777778,0.7678571428571429,-2.021066146614699,2.4298822499912656,0.4388888888888889,0.7142857142857143,-1.0447688410012015,1.7966395345939319
