idx,selected,selection_arms,topology_id,topology_name,base_id,base_family,base_seed,rewire_seed,n_nodes,n_edges,p,edge_json,cluster_edge_json,d_rel,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_sequence,out_degree_sequence,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log,normal_fan_branch_root_nmi_mean,normal_fan_branch_tree_nmi_mean,normal_fan_active_tree_count_mean,normal_fan_branch_active_tree_count_min_mean,normal_fan_score,normal_fan_score_within_base_z,tree_count_within_base_z,cross_contrast_effective_rank_mean,cross_all_supported_effective_rank
0,0,,mb0000_base00_degree_balanced_seed9_rw5156116,multibase_base00_degree_balanced_seed9_rewire_seed5156116,base00_degree_balanced_seed9,degree_balanced,9,5156116,5,12,8,topologies/mb0000_base00_degree_balanced_seed9_rw5156116.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0000_base00_degree_balanced_seed9_rw5156116.json,88,11,8.926156311337124,2.8709247025015534,0.4580218021388219,0.0,0.1372549019607845,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,85,1.9294189257142926,0.01500230315282661,0.10766422532990932,61.75,40.75,2.3512519964725014,0.6031662293253991,1.0502554761018255,9.129141865954816,9.129141865954816
1,0,,mb0001_base00_degree_balanced_seed9_rw9764390,multibase_base00_degree_balanced_seed9_rewire_seed9764390,base00_degree_balanced_seed9,degree_balanced,9,9764390,5,12,8,topologies/mb0001_base00_degree_balanced_seed9_rw9764390.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0001_base00_degree_balanced_seed9_rw9764390.json,88,11,8.926156311337124,2.8709247025015547,0.4580218021388221,0.0,0.1372549019607845,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,85,1.9294189257142926,0.014372052696090317,0.10150814881570436,63.0,41.875,2.184510478786639,0.5326596051623822,1.0502554761018255,9.129141865954816,9.129141865954816
2,0,,mb0002_base00_degree_balanced_seed9_rw8768719,multibase_base00_degree_balanced_seed9_rewire_seed8768719,base00_degree_balanced_seed9,degree_balanced,9,8768719,5,12,8,topologies/mb0002_base00_degree_balanced_seed9_rw8768719.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0002_base00_degree_balanced_seed9_rw8768719.json,88,11,8.643103571484449,3.7749243665402386,0.5769082546345372,0.0,0.16153846153846163,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,65,1.8129133566428555,0.014140101591879242,0.0946546371242477,53.375,36.875,-1.5219587632716198,-1.0346203227672977,-0.8893947957397399,8.763063669735347,8.763063669735347
3,0,,mb0003_base00_degree_balanced_seed9_rw6729839,multibase_base00_degree_balanced_seed9_rewire_seed6729839,base00_degree_balanced_seed9,degree_balanced,9,6729839,5,12,8,topologies/mb0003_base00_degree_balanced_seed9_rw6729839.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0003_base00_degree_balanced_seed9_rw6729839.json,88,11,8.926156311337124,2.870924702501555,0.45802180213882215,0.0,0.1372549019607845,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,85,1.9294189257142926,0.018751949889317856,0.11197905066530242,65.25,42.375,3.846356153390362,1.235370783652241,1.0502554761018255,9.129141865954816,9.129141865954816
4,0,,mb0004_base00_degree_balanced_seed9_rw4481381,multibase_base00_degree_balanced_seed9_rewire_seed4481381,base00_degree_balanced_seed9,degree_balanced,9,4481381,5,12,8,topologies/mb0004_base00_degree_balanced_seed9_rw4481381.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0004_base00_degree_balanced_seed9_rw4481381.json,88,11,8.686644890776476,3.273841066389592,0.5150575920993192,0.0,0.13749999999999996,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,70,1.845098040014257,0.013112160627209548,0.09685854516283002,57.25,40.125,0.26715329062791215,-0.2780945760875129,-0.3535660765804398,8.846736547522896,8.846736547522898
5,0,,mb0005_base00_degree_balanced_seed9_rw9061381,multibase_base00_degree_balanced_seed9_rewire_seed9061381,base00_degree_balanced_seed9,degree_balanced,9,9061381,5,12,8,topologies/mb0005_base00_degree_balanced_seed9_rw9061381.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0005_base00_degree_balanced_seed9_rw9061381.json,88,11,8.814573931925766,3.0684933323307892,0.48692518392267464,0.0,0.14500000000000002,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,75,1.8750612633917,0.017248997294449175,0.1131152529060357,58.0,39.375,1.9794326899961774,0.4459424948763121,0.14527852657901216,8.987740787744045,8.987740787744045
6,0,,mb0006_base00_degree_balanced_seed9_rw198724,multibase_base00_degree_balanced_seed9_rewire_seed198724,base00_degree_balanced_seed9,degree_balanced,9,198724,5,12,8,topologies/mb0006_base00_degree_balanced_seed9_rw198724.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0006_base00_degree_balanced_seed9_rw198724.json,88,11,8.814573931925766,3.0684933323307884,0.4869251839226745,0.0,0.14500000000000002,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,75,1.8750612633917,0.019466634304015455,0.11313919853491637,58.125,39.0,1.8926887138853612,0.40926281841100903,0.14527852657901216,8.98774078774405,8.98774078774405
7,0,,mb0007_base00_degree_balanced_seed9_rw3340985,multibase_base00_degree_balanced_seed9_rewire_seed3340985,base00_degree_balanced_seed9,degree_balanced,9,3340985,5,12,8,topologies/mb0007_base00_degree_balanced_seed9_rw3340985.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0007_base00_degree_balanced_seed9_rw3340985.json,88,11,8.141026587055626,4.2574706069826,0.6291516583329761,0.0,0.12121212121212155,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,55,1.7403626894942439,0.017205152635007846,0.10711853914325141,48.625,33.875,-1.7377581304419873,-1.1258710507615293,-2.097259126849998,8.260255408128748,8.260255408128748
8,0,,mb0008_base00_degree_balanced_seed9_rw3128112,multibase_base00_degree_balanced_seed9_rewire_seed3128112,base00_degree_balanced_seed9,degree_balanced,9,3128112,5,12,8,topologies/mb0008_base00_degree_balanced_seed9_rw3128112.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0008_base00_degree_balanced_seed9_rw3128112.json,88,11,8.814573931925766,3.068493332330792,0.486925183922675,0.0,0.14500000000000002,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,75,1.8750612633917,0.015229934674239706,0.11334490974886126,58.0,36.875,1.2798240089544495,0.1501130756651697,0.14527852657901216,8.987740787744045,8.987740787744045
9,0,,mb0009_base00_degree_balanced_seed9_rw3931846,multibase_base00_degree_balanced_seed9_rewire_seed3931846,base00_degree_balanced_seed9,degree_balanced,9,3931846,5,12,8,topologies/mb0009_base00_degree_balanced_seed9_rw3931846.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0009_base00_degree_balanced_seed9_rw3931846.json,88,11,8.68664489077648,3.273841066389592,0.5150575920993192,0.0,0.13749999999999996,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,70,1.845098040014257,0.025732034298264046,0.10820847615472215,54.625,36.75,0.1475663052601498,-0.32866191377960546,-0.3535660765804398,8.846736547522895,8.846736547522895
