topology_index,topology_id,topology_name,base_id,selection_arms,train_seed,output,results_path,completed,command
0,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,arm_B_low_tree_count,1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed1/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,arm_B_low_tree_count,2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed2/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,arm_B_low_tree_count,3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed3/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,arm_B_low_tree_count,4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed4/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,arm_B_low_tree_count,5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed5/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0024_base00_degree_balanced_seed9_rw1302872_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,arm_A_high_normal_fan,1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed1,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed1/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed1 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json --seed 1 --input_mask_seed 1 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,arm_A_high_normal_fan,2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed2,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed2/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed2 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json --seed 2 --input_mask_seed 2 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,arm_A_high_normal_fan,3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed3,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed3/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed3 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json --seed 3 --input_mask_seed 3 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,arm_A_high_normal_fan,4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed4,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed4/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed4 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json --seed 4 --input_mask_seed 4 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,arm_A_high_normal_fan,5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed5,/home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed5/results.pkl,False,python3 -u run_topology_icl.py --output /home/aadarwal/repos/topology/ICL/results/multibase_normal_fan_tree_count_training/mb0044_base00_degree_balanced_seed9_rw6871406_trainseed5 --edge_json /home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json --seed 5 --input_mask_seed 5 --no_progress --K 128 --L 128 --D 2 --N 3 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
