run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time,capacity_n_nodes,capacity_n_edges,capacity_n_context,capacity_z_dim,capacity_p,capacity_d_rel,capacity_comparison_branch_common_d_rel_min,capacity_comparison_branch_common_d_rel_mean,capacity_support_fraction,capacity_support_min,capacity_support_mean,capacity_support_max,capacity_oracle_test_accuracy,capacity_oracle_test_margin_mean,capacity_oracle_test_margin_p10,capacity_oracle_test_margin_finite_fraction,capacity_linear_test_accuracy,capacity_linear_test_margin_mean,capacity_linear_test_margin_p10,capacity_linear_test_margin_finite_fraction,capacity_linear_weight_norm
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed1,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed1,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,1,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.09050000000000002,0.135,160,200,40,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,19,15.979828864138684,3.2306161145788415,181.23677679570716,4.071087787090045,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,66.4,64.0,62.0,67.0,57.75,2.5,65.8,61.2,15.256717681884766,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed2,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed2,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,1,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.09050000000000002,0.135,160,200,40,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,19,15.979828864138684,3.2306161145788415,181.23677679570716,4.071087787090045,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,84.08,85.7,79.0,83.5,70.9,4.5,83.2,79.4,15.373299837112427,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed3,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,1,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.09050000000000002,0.135,160,200,40,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,19,15.979828864138684,3.2306161145788415,181.23677679570716,4.071087787090045,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,69.42,70.6,63.5,69.0,60.3,2.5,67.4,60.6,15.244268655776978,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed4,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed4,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,1,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.09050000000000002,0.135,160,200,40,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,19,15.979828864138684,3.2306161145788415,181.23677679570716,4.071087787090045,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,68.6,67.6,65.0,66.0,57.3,4.0,66.0,65.6,15.261385202407837,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed5,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1_trainseed5,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,1,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.09050000000000002,0.135,160,200,40,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,31,33.5,36,0.033582089552238736,17,20.5,23,0.054878048780487854,recomputed,19,15.979828864138684,3.2306161145788415,181.23677679570716,4.071087787090045,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,87.76,84.2,83.5,85.5,73.6,3.0,85.0,85.2,15.163580894470215,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed1,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed1,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,32,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11149999999999993,0.1319999999999999,160,200,40,31,37.0,41,0.054054054054053946,15,23.0,29,0.11956521739130443,recomputed,31,37.0,41,0.054054054054053946,15,22.75,28,0.11263736263736268,recomputed,19,15.979828864138684,3.2306161145788415,181.07589840983204,5.666065770503223,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,83.32,84.1,78.5,81.5,68.4,4.0,78.0,80.6,15.378098249435425,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed2,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed2,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,32,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11149999999999993,0.1319999999999999,160,200,40,31,37.0,41,0.054054054054053946,15,23.0,29,0.11956521739130443,recomputed,31,37.0,41,0.054054054054053946,15,22.75,28,0.11263736263736268,recomputed,19,15.979828864138684,3.2306161145788415,181.07589840983204,5.666065770503223,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,84.98,85.3,82.5,82.5,72.9,3.5,83.2,81.6,15.387328147888184,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed3,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,32,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11149999999999993,0.1319999999999999,160,200,40,31,37.0,41,0.054054054054053946,15,23.0,29,0.11956521739130443,recomputed,31,37.0,41,0.054054054054053946,15,22.75,28,0.11263736263736268,recomputed,19,15.979828864138684,3.2306161145788415,181.07589840983204,5.666065770503223,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,86.76,83.8,81.0,81.0,72.5,3.5,80.0,79.8,15.401854991912842,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed4,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed4,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,32,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11149999999999993,0.1319999999999999,160,200,40,31,37.0,41,0.054054054054053946,15,23.0,29,0.11956521739130443,recomputed,31,37.0,41,0.054054054054053946,15,22.75,28,0.11263736263736268,recomputed,19,15.979828864138684,3.2306161145788415,181.07589840983204,5.666065770503223,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,82.58,82.8,83.0,83.0,69.35,7.0,83.4,79.0,15.303051471710205,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed5,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32_trainseed5,random_sc_n6_m20_seed3__mask_random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,32,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.11149999999999993,0.1319999999999999,160,200,40,31,37.0,41,0.054054054054053946,15,23.0,29,0.11956521739130443,recomputed,31,37.0,41,0.054054054054053946,15,22.75,28,0.11263736263736268,recomputed,19,15.979828864138684,3.2306161145788415,181.07589840983204,5.666065770503223,0.13711956515366064,0.07115384615384612,0.002162906804733728,0.10523076923076946,0.0,1.3333333333333333,71.82,69.1,69.5,70.0,57.1,3.0,73.4,72.6,15.678308010101318,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
