run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed1,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,19,15.898610432389086,3.550238802485174,182.74998086297978,3.8736343094623553,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,82.36,80.3,80.5,82.5,69.05,4.5,81.4,81.6,12.61931324005127
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed2,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,19,15.898610432389086,3.550238802485174,182.74998086297978,3.8736343094623553,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,86.96,83.4,87.0,87.0,69.85,3.5,87.0,84.0,12.64455509185791
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed3,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,19,15.898610432389086,3.550238802485174,182.74998086297978,3.8736343094623553,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,87.58,86.9,84.5,87.5,72.7,3.0,82.6,85.2,12.66202998161316
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed4,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed4,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,19,15.898610432389086,3.550238802485174,182.74998086297978,3.8736343094623553,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,78.44,77.5,77.0,77.0,67.0,4.5,76.8,76.2,12.913741111755371
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed5,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed5,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,artifact,19,15.898610432389086,3.550238802485174,182.74998086297978,3.8736343094623553,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,70.16,72.2,70.5,70.5,60.7,3.5,68.8,68.2,12.635263919830322
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed1,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,1,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,19,15.898610432389086,3.550238802485174,181.49170194126415,3.700180926499629,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,75.88,75.9,78.0,78.0,62.9,3.5,73.8,72.6,12.460118055343628
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed2,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,2,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,19,15.898610432389086,3.550238802485174,181.49170194126415,3.700180926499629,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,80.28,78.0,79.0,79.0,64.15,3.5,75.4,77.0,12.580968141555786
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed3,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,3,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,19,15.898610432389086,3.550238802485174,181.49170194126415,3.700180926499629,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,89.0,86.7,89.5,90.0,77.6,3.5,86.6,86.8,12.89173698425293
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed4,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed4,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,4,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,19,15.898610432389086,3.550238802485174,181.49170194126415,3.700180926499629,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,90.6,88.5,85.0,85.0,74.2,5.0,87.6,89.4,12.606261014938354
ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed5,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642_trainseed5,cycle_chords_n6_m20_seed3__mask_cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,5,0,6,20,20,400,200,20,20,0.5,1.0,1.0,0.0,0.0,160,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,artifact,19,15.898610432389086,3.550238802485174,181.49170194126415,3.700180926499629,0.19012057577583058,0.10694444444444429,0.001853732638888889,0.09454166666666675,0.0,1.3333333333333333,73.18,70.7,67.5,69.5,63.9,3.0,74.2,74.0,12.40166974067688
