topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,linear_weight_norm
random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,entry_random,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0000_entry_random_c200_seed1.json,6,20,4,4,20,200,17,20.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,entry_random,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0031_entry_random_c200_seed32.json,6,20,4,4,20,200,15,23.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0034_entry_random_c200_seed35,random_sc_n6_m20_seed3__mask0034_entry_random_c200_seed35,entry_random,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0034_entry_random_c200_seed35,random_sc_n6_m20_seed3__mask0034_entry_random_c200_seed35,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0034_entry_random_c200_seed35.json,6,20,4,4,20,200,25,26.5,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,entry_random,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0043_entry_random_c200_seed44.json,6,20,4,4,20,200,18,19.75,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0080_edge_block_c200_seed1.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0091_edge_block_c200_seed12.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0096_edge_block_c200_seed17,random_sc_n6_m20_seed3__mask0096_edge_block_c200_seed17,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0096_edge_block_c200_seed17,random_sc_n6_m20_seed3__mask0096_edge_block_c200_seed17,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0096_edge_block_c200_seed17.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0098_edge_block_c200_seed19,random_sc_n6_m20_seed3__mask0098_edge_block_c200_seed19,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0098_edge_block_c200_seed19,random_sc_n6_m20_seed3__mask0098_edge_block_c200_seed19,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0098_edge_block_c200_seed19.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0099_edge_block_c200_seed20,random_sc_n6_m20_seed3__mask0099_edge_block_c200_seed20,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0099_edge_block_c200_seed20,random_sc_n6_m20_seed3__mask0099_edge_block_c200_seed20,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0099_edge_block_c200_seed20.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
random_sc_n6_m20_seed3__mask0101_edge_block_c200_seed22,random_sc_n6_m20_seed3__mask0101_edge_block_c200_seed22,edge_block,random_sc_n6_m20_seed3,random_sc_n6_m20_seed3__mask0101_edge_block_c200_seed22,random_sc_n6_m20_seed3__mask0101_edge_block_c200_seed22,/home/aadarwal/repos/topology/ICL/results/topology_library_n6_m20/topologies/g0082_random_sc_seed3.json,/home/aadarwal/repos/topology/ICL/results/input_mask_library_m20_random_sc_seed3_c200/masks/random_sc_n6_m20_seed3__mask0101_edge_block_c200_seed22.json,6,20,4,4,20,200,40,40.0,1.0,4,4.0,4,1.0,4.402540492351306,1.2524631830967872,1.0,0.975,0.3342124645931681,0.0677299764960244,1.0,0.27033332878512156
