dataset,group,physical_topology_name,family,regime,gamma_probe_n_samples,gamma_probe_trials,gamma_probe_edge_bias_radius,gamma_probe_alpha,gamma_no_bias_exact_available,gamma_no_bias_exact_lcvar,gamma_no_bias_exact_accuracy,gamma_no_bias_exact_failure_max,gamma_no_bias_exact_margin_mean,gamma_no_bias_exact_margin_p10,gamma_no_bias_exact_tree_drive_range_mean,gamma_no_bias_exact_n_trees_total,gamma_no_bias_exact_total_trials,gamma_no_bias_tropical_available,gamma_no_bias_tropical_lcvar,gamma_no_bias_tropical_accuracy,gamma_no_bias_tropical_failure_max,gamma_no_bias_tropical_margin_mean,gamma_no_bias_tropical_margin_p10,gamma_no_bias_tropical_tree_drive_range_mean,gamma_no_bias_tropical_n_trees_total,gamma_no_bias_tropical_total_trials,gamma_no_bias_hard_root_available,gamma_no_bias_hard_root_lcvar,gamma_no_bias_hard_root_accuracy,gamma_no_bias_hard_root_failure_max,gamma_no_bias_hard_root_margin_mean,gamma_no_bias_hard_root_margin_p10,gamma_no_bias_hard_root_tree_drive_range_mean,gamma_no_bias_hard_root_n_trees_total,gamma_no_bias_hard_root_total_trials
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0000_entry_random_c200_seed1,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-2.407695018752027,0.25,1.0,-0.7912737337820197,-2.0239754420887808,1.2283561917737387,960,8,True,-2.962223918857818,0.2375,1.0,-0.6974567341044474,-1.9314761003318524,1.3325554806633708,960,8,True,-1.6606900198467631,0.24583333333333332,0.796875,-0.4726949852416585,-1.2737818326871657,1.54354277005316,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0004_entry_random_c200_seed5,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-2.599259830151969,0.22083333333333333,1.0,-1.0270472153880397,-2.1954391995258016,1.5604484756840016,960,8,True,-2.1301447417753594,0.24583333333333332,1.0,-0.6111535490340095,-1.6614585213046607,1.464489122654489,960,8,True,-1.5772895177472488,0.24583333333333332,0.78125,-0.4219104571241491,-1.1264108305805842,1.3333817865780784,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0020_entry_random_c200_seed21,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-2.6043948694515326,0.23333333333333334,1.0,-0.9830887973502255,-2.1610836357249537,1.057331007739198,960,8,True,-2.279515245673476,0.30833333333333335,1.0,-0.3653254478552762,-1.099500457795388,1.3466894593878276,960,8,True,-1.5335422875226261,0.2791666666666667,0.8181818181818182,-0.3948215736278767,-1.187406717462365,1.287316006060413,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0047_entry_random_c200_seed48,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-4.687074959224247,0.275,1.0,-1.453142373910642,-3.7290213401444214,1.3254771290832863,960,8,True,-2.8473535319085506,0.2708333333333333,1.0,-0.7018455627513422,-2.071784140722539,1.2404728825400608,960,8,True,-1.6661599058989494,0.26666666666666666,0.8412698412698413,-0.4234927809509131,-1.3396524987337373,1.146617575551694,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0080_edge_block_c200_seed1,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-5.568429132143324,0.2625,1.0,-1.8726301518234287,-4.305019313058487,1.452359606091295,960,8,True,-4.203353938456215,0.2125,1.0,-1.065965239602424,-2.9591787719303912,1.0748154219605504,960,8,True,-1.6238475125435985,0.175,0.896551724137931,-0.39837017825136317,-1.2259142106252552,1.0716630213157696,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0082_edge_block_c200_seed3,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-4.721171496185835,0.2375,1.0,-1.7800359229030929,-4.149413297228422,0.8650112490212879,960,8,True,-2.505501360546872,0.2625,1.0,-0.5479745419301322,-1.545038420243398,1.287455561046791,960,8,True,-1.739527590053542,0.18333333333333332,0.9666666666666667,-0.40207650278887347,-1.3983606032348912,1.5533272156698803,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0088_edge_block_c200_seed9,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-3.6066822967667087,0.2916666666666667,1.0,-0.8421282348227415,-2.413504886726983,1.1914781331539865,960,8,True,-3.3305276693616332,0.2375,1.0,-0.7615566295079499,-2.2410860708621656,1.1683074550378836,960,8,True,-1.458475705142068,0.10416666666666667,1.0,-0.2427935552266945,-0.9067141342333785,1.0867344566836656,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0107_edge_block_c200_seed28,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-4.648025537466365,0.2708333333333333,1.0,-1.4370591798624262,-3.7109056884256133,1.6673545398493157,960,8,True,-3.7014473922230926,0.26666666666666666,1.0,-0.7966798810206109,-2.4016156409481613,1.0577911490488672,960,8,True,-1.8981636230272338,0.18333333333333332,0.9166666666666666,-0.42676370651740664,-1.3787616198347792,1.2786067370990397,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0112_edge_block_c200_seed33,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-2.3819053743641487,0.20416666666666666,1.0,-1.0058679232388135,-2.067918645431345,0.8650325366007889,960,8,True,-3.6267752421013824,0.2375,1.0,-0.9355594954437351,-2.5477713790212184,1.070863518114922,960,8,True,-1.8894267029738483,0.16666666666666666,1.0,-0.44698149986524344,-1.409126961849215,1.116739778451154,960,96
fixed_m20_masks_cluster_topology,cycle_chords_n6_m20_seed3__mask0125_edge_block_c200_seed46,cycle_chords_n6_m20_seed3,cycle_chords,fixed_m20,240,8,0.0,0.1,True,-3.0771007601853215,0.22083333333333333,1.0,-1.2330118878714822,-2.7548301676086937,1.1907046925481708,960,8,True,-1.499105665640279,0.22083333333333333,1.0,-0.33427496259798556,-0.8741551130979841,0.9899222782602584,960,8,True,-1.646057789821682,0.11666666666666667,0.9591836734693877,-0.37295839741905396,-1.2722049436288063,0.993314418395182,960,96
