idx,selected,selection_category,selection_rank,load_stratum,contrast_level,topology_id,topology_name,physical_topology_name,mask_name,mask_family,seed,n_nodes,n_edges,p,edge_json,input_mask_json,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,coord_load_distribution,edge_load_distribution,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_masked,condition_number_D_masked_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,edge_M_mean,edge_M_gini,edge_overlap_norm_min,edge_overlap_norm_mean,tree_overlap_norm_min,tree_overlap_norm_mean,tree_overlap_norm_gini,diff_overlap_norm_min,diff_overlap_norm_mean,diff_overlap_norm_gini,diff_coord_load_gini,diff_pair_count_sampled,diff_pair_count_possible,diff_pairs_truncated,gamma_no_bias_exact_lcvar,gamma_no_bias_tropical_lcvar,gamma_no_bias_hard_root_lcvar
0,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0000_c200_seed60618,cycle_chords_n6_m20_seed3__prospective_balanced_load_0000_c200_seed60618,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0000_c200_seed60618,prospective_tree_diff_balanced_load,60618,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,18.75,22,0.06333333333333324,40,40.0,40,0.0,16,18.75,22,0.06333333333333324,19,15.898610432389086,3.550238802485174,3.8894736449934886,0.5898908330630641,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.234375,0.8421052631578947,0.9664446405307464,0.018458083699064654,0.904673187393262,0.9593389122027295,0.009304445416653984,0.01199114621545605,79096,79096,False,,,
1,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0001_c200_seed60619,cycle_chords_n6_m20_seed3__prospective_balanced_load_0001_c200_seed60619,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0001_c200_seed60619,prospective_tree_diff_balanced_load,60619,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,18.75,22,0.06333333333333324,40,40.0,40,0.0,16,18.75,22,0.06333333333333324,19,15.898610432389086,3.550238802485174,3.9864493561397922,0.6005862511864968,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.234375,0.84375,0.9657979135248823,0.016937559106557698,0.8939605651296383,0.9584118623697983,0.009293666226705799,0.016545533749082963,79096,79096,False,,,
2,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0002_c200_seed60620,cycle_chords_n6_m20_seed3__prospective_balanced_load_0002_c200_seed60620,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0002_c200_seed60620,prospective_tree_diff_balanced_load,60620,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,18.5,20,0.04054054054054057,40,40.0,40,0.0,16,18.5,20,0.04054054054054057,19,15.898610432389086,3.550238802485174,3.9734868289502265,0.5991717777848443,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.23125,0.8508771929824561,0.955916171856793,0.020756161534866813,0.9222170470423847,0.9626035387133199,0.008270288176253304,0.014421389704084131,79096,79096,False,,,
3,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0003_c200_seed60621,cycle_chords_n6_m20_seed3__prospective_balanced_load_0003_c200_seed60621,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0003_c200_seed60621,prospective_tree_diff_balanced_load,60621,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,19,20.25,23,0.04012345679012341,40,40.0,40,0.0,19,20.25,23,0.04012345679012341,19,15.898610432389086,3.550238802485174,3.821911913191651,0.5822806732852824,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.25312500000000004,0.8674698795180723,0.9652894887580009,0.019680759710358986,0.9151515151515152,0.9595901434583611,0.007792475606830829,0.020221401932012606,79096,79096,False,,,
4,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0004_c200_seed60622,cycle_chords_n6_m20_seed3__prospective_balanced_load_0004_c200_seed60622,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0004_c200_seed60622,prospective_tree_diff_balanced_load,60622,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,18.75,20,0.036666666666666625,40,40.0,40,0.0,17,18.75,20,0.036666666666666625,19,15.898610432389086,3.550238802485174,3.749332610135231,0.5739539691862671,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.234375,0.88125,0.9663229363980889,0.018026003418811554,0.9054302422723476,0.9601499250584471,0.007845103601960668,0.017324491012472354,79096,79096,False,,,
5,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0005_c200_seed60623,cycle_chords_n6_m20_seed3__prospective_balanced_load_0005_c200_seed60623,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0005_c200_seed60623,prospective_tree_diff_balanced_load,60623,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,19,19.75,21,0.02215189873417711,40,40.0,40,0.0,19,19.75,21,0.02215189873417711,19,15.898610432389086,3.550238802485174,3.9513953523075442,0.5967504846892161,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.24687499999999998,0.868421052631579,0.9751095041010872,0.01433741661497745,0.8808324205914567,0.952844802475445,0.012082632897642887,0.017381904958424954,79096,79096,False,,,
6,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0006_c200_seed60624,cycle_chords_n6_m20_seed3__prospective_balanced_load_0006_c200_seed60624,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0006_c200_seed60624,prospective_tree_diff_balanced_load,60624,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,20,21.5,22,0.01744186046511631,40,40.0,40,0.0,20,21.5,22,0.01744186046511631,19,15.898610432389086,3.550238802485174,3.144131708390033,0.49750073044272963,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.2,0.26875000000000004,0.83,0.9612853402052881,0.01852158162406803,0.9215960254618848,0.9612115166190529,0.008688230474475755,0.019725291941794953,79096,79096,False,,,
7,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0007_c200_seed60625,cycle_chords_n6_m20_seed3__prospective_balanced_load_0007_c200_seed60625,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0007_c200_seed60625,prospective_tree_diff_balanced_load,60625,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,19.5,23,0.0641025641025641,40,40.0,40,0.0,17,19.5,23,0.0641025641025641,19,15.898610432389086,3.550238802485174,3.948841835037792,0.5964697390680357,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.24375,0.8538461538461538,0.9694980110218201,0.014898519244487485,0.8967551622418879,0.9631772511306451,0.00787086008156379,0.017877403552213122,79096,79096,False,,,
8,1,high_tree_diff_comparison_overlap_balanced_load,4,balanced_load,high,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,19,15.898610432389086,3.550238802485174,3.8736343094623553,0.5881186187375249,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.24374999999999997,0.8674698795180723,0.9604367222178186,0.019288681869001012,0.9342095655348668,0.962071433579983,0.006621380115559683,0.01452899547566644,79096,79096,False,-4.690094333326641,-3.065582566218138,-1.6083960287965329
9,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0009_c200_seed60627,cycle_chords_n6_m20_seed3__prospective_balanced_load_0009_c200_seed60627,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0009_c200_seed60627,prospective_tree_diff_balanced_load,60627,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,19.25,22,0.04870129870129869,40,40.0,40,0.0,17,19.25,22,0.04870129870129869,19,15.898610432389086,3.550238802485174,3.930713333244707,0.594471371896999,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.24062499999999998,0.9,0.9808806715983366,0.013580316362647338,0.8953578636857631,0.9425611323732518,0.01271290654234214,0.019291525281242228,79096,79096,False,,,
